retrieval_run_id,method,setting,example_id,rank,title,score
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,1,Battle of Manila (1574),7.1483398997012131
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,2,Battle of the Burbia River,6.9503062745217381
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,3,Battle of Silda,6.8684783452021634
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,4,Battle of Manila (1945),6.7502671910243439
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,5,Battle of Alhandic,6.7423394030616688
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,6,Battle of Klushino,6.7283082867591162
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,7,Battle of Calabria,6.2961546611712853
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,8,Battle of Aspromonte,5.6470494685627255
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,9,Battle of Guam (1944),5.625122027842071
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a71166d5542994082a3e576,10,Battle of Yao (Japan),5.1192695253672849
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,1,"Lake Louisvilla, Louisville",8.4857290127306086
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,2,Tara Conner,6.5514422514106432
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,3,"Oldham County, Kentucky",5.7380458800891567
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,4,"Casey County, Kentucky",5.5693682289499904
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,5,Battle of Blue Licks,5.375953056222035
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,6,John Logan (pioneer),3.6716838767107807
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,7,John Bowman (pioneer),3.5357016135068737
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,8,"Kentucky County, Virginia",3.432359569271735
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,9,Westervelt massacre,3.356268629009072
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a7133565542994082a3e65c,10,Benjamin Logan,3.1268483612984719
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a713a5a5542994082a3e6a9,1,Gorse Hill,8.3479396466573004
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a713a5a5542994082a3e6a9,2,"Old Trafford, Greater Manchester",7.2799855387844721
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a713a5a5542994082a3e6a9,3,Aquinas Old Collegians Football Club,5.3900529933768118
bm25_per_question_n500_d10_20260726_r01,bm25,per_question,5a713a5a5542994082a3e6a9,4,Manchester United F.C.,5.2235183101649252
