retrieval_run_id,method,setting,example_id,rank,title,score
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,1,Battle of Guam (1944),0.67972135543823242
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,2,Battle of Manila (1945),0.63578200340270996
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,3,Battle of Manila (1574),0.61701172590255737
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,4,Battle of Yao (Japan),0.46772614121437073
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,5,Battle of Peleliu,0.43993338942527771
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,6,Battle of Alhandic,0.42558398842811584
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,7,Military history of Mexico,0.40475907921791077
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,8,South West Pacific theatre of World War II,0.40051338076591492
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,9,Battle of Calabria,0.39499980211257935
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,10,VMF-236,0.39427840709686279
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,11,Geography of the Philippines,0.39323389530181885
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,12,Battle of Adwa,0.38435295224189758
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,13,Seven Days Union order of battle,0.37735214829444885
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,14,Asiatic-Pacific Theater,0.37489497661590576
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,15,Battle of the Ch'ongch'on River,0.36920264363288879
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,16,Battle of Great Bridge,0.36492937803268433
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,17,Treaty of Taipei,0.35829773545265198
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,18,Battle of Gaines's Mill,0.35734772682189941
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,19,Mactan,0.35550770163536072
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,20,Seven Days Confederate order of battle,0.35478946566581726
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,21,Battle of Blue Licks,0.35335946083068848
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,22,South West Pacific Area (command),0.35233178734779358
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,23,Battle of Jupiter Inlet,0.34891662001609802
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,24,Seven Days Battles,0.34559902548789978
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,25,Battle of Romanovka,0.34253713488578796
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,26,Treaty of Gandamak,0.33430823683738708
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,27,Bamboo (band),0.32800781726837158
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,28,Battle of Belleau Wood,0.32684975862503052
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,29,Battle of Silda,0.32663524150848389
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,30,Battle of Tippecanoe,0.32136929035186768
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,31,Battle of Aspromonte,0.32115557789802551
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,32,Battle of Glendale (Skye),0.32101237773895264
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,33,6th Connecticut Regiment,0.31611251831054688
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,34,Ilocos Region,0.31507936120033264
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,35,Bay of Pigs Invasion,0.31313011050224304
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,36,Battle of the Burbia River,0.31110146641731262
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,37,Joseph L. Follett,0.30990275740623474
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,38,Second Anglo-Afghan War,0.30918094515800476
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,39,Battle of Fallen Timbers,0.30558735132217407
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,40,VMF-222,0.30025771260261536
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,41,Battle of Klushino,0.2954254150390625
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,42,San Jacinto Monument,0.29173928499221802
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,43,Siege of Bharatpur (1805),0.29126694798469543
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,44,As the Music Plays,0.29031705856323242
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,45,Second Battle of Agordat,0.28961378335952759
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,46,Tippecanoe order of battle,0.28277105093002319
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,47,Emirate of Afghanistan,0.27783778309822083
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,48,Bukhara operation (1920),0.27654373645782471
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,49,VMF-215,0.27563691139221191
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a71166d5542994082a3e576,50,Rosario Naimo,0.27278801798820496
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,1,"Lake Louisvilla, Louisville",0.76149135828018188
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,2,"Kentucky County, Virginia",0.55288225412368774
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,3,"Oldham County, Kentucky",0.46832874417304993
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,4,"Casey County, Kentucky",0.44950014352798462
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,5,Shawnee State Fishing Lake,0.42775470018386841
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,6,"Lakeland, Tennessee",0.41846439242362976
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,7,Wheeling Island,0.41708815097808838
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,8,Osage State Fishing Lake,0.40648579597473145
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,9,Kentucky Oaks Mall,0.38650736212730408
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,10,Brown State Fishing Lake,0.37817448377609253
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,11,Greater Newport Rural Historic District,0.37797841429710388
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,12,"Brown County, Kansas",0.36504834890365601
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,13,Jeff Hoover,0.36176648736000061
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,14,Scottsburg Courthouse Square Historic District,0.35966584086418152
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,15,"Higgins Lake, Michigan",0.35701310634613037
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,16,Shawnee Mission District Stadium,0.35177227854728699
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,17,"McLean, Virginia",0.34161880612373352
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,18,Higgins Lake,0.33316439390182495
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,19,Cromwell's Run Rural Historic District,0.32990151643753052
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,20,Benjamin Logan,0.32006430625915527
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,21,Kansas City metropolitan area,0.31899836659431458
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,22,Lake District Mysteries,0.3137282133102417
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,23,John Logan (pioneer),0.31155863404273987
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,24,CommunityAmerica Ballpark,0.31060728430747986
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,25,Commanda Lake,0.30988749861717224
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,26,"West Memphis, Arkansas",0.30863842368125916
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,27,John Bowman (pioneer),0.30719202756881714
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,28,"Orlinda, Tennessee",0.30709925293922424
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,29,"Wytheville, Virginia",0.30576226115226746
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,30,Superman: Tower of Power,0.3048895001411438
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,31,Valhalla Highlands Historic District,0.3045383095741272
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,32,Kent County Cricket Club in 2010,0.30294731259346008
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,33,.ky,0.29886898398399353
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,34,National Archives of Zambia,0.29741773009300232
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,35,Kent County Cricket Club in 2011,0.29726153612136841
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,36,Stacey Kent,0.29590517282485962
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,37,"Sullivan County, New Hampshire",0.29539963603019714
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,38,Kent County Cricket Club in 2013,0.29478222131729126
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,39,Scott County Transit,0.2944815456867218
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,40,Yangzong Lake,0.29224804043769836
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,41,Kingsley Dam,0.29117709398269653
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,42,Park City Center,0.28922173380851746
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,43,2008 Kansas City Wizards season,0.28745734691619873
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,44,Muddy Creek Forks Historic District,0.28542947769165039
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,45,Prophetstown State Park,0.28358176350593567
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,46,Ingram–Schipper Farm,0.28355726599693298
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,47,Middlebourne Historic District,0.28190970420837402
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,48,Bratislava,0.28159260749816895
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,49,"Covington, Tennessee",0.27906119823455811
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a7133565542994082a3e65c,50,Shreveport Steamer,0.27703684568405151
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,1,"Old Trafford, Greater Manchester",0.62104964256286621
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,2,Trafford Bar tram stop,0.6079832911491394
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,3,Gorse Hill,0.50241571664810181
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,4,Sir Matt Busby Sports Complex,0.47595077753067017
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,5,Newington Youth F.C.,0.44365125894546509
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,6,Manchester United F.C.,0.44193777441978455
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,7,Springfield Park (Wigan),0.43378624320030212
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,8,Manchester United F.C. in European football,0.43069341778755188
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,9,Spennymoor Town F.C.,0.42626875638961792
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,10,Sport &amp; Leisure Swifts F.C.,0.41550126671791077
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,11,Doncaster Rovers Belles L.F.C.,0.41161611676216125
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,12,Salford City F.C.,0.40802553296089172
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,13,Lisburn Distillery F.C.,0.40141922235488892
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,14,2006–07 Wigan Athletic F.C. season,0.3995736837387085
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,15,Curzon Ashton F.C.,0.39839252829551697
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,16,"Strawberry Park, Cheshire",0.39686191082000732
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,17,Stramshall,0.39404109120368958
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,18,Queen's University Belfast A.F.C.,0.39274173974990845
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,19,RAF Warmwell,0.383524090051651
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,20,Bedale,0.3834194540977478
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,21,West Yorkshire Association Football League,0.38271817564964294
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,22,The Chessels,0.3800298273563385
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,23,Kenton Richardson,0.37230178713798523
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,24,Humber Warhawks,0.37104490399360657
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,25,Stank Hall,0.36975911259651184
dense_pooled_n500_d50_20260726_r01,dense,pooled,5a713a5a5542994082a3e6a9,26,Rivington Hall Barn,0.36766022443771362
