method,setting,example_id,question_type,level,question,gold_titles,retrieved_titles,any_evidence_recall@2,any_evidence_recall@5,any_evidence_recall@10,full_evidence_recall@2,full_evidence_recall@5,full_evidence_recall@10,partial_evidence_recall@2,partial_evidence_recall@5,partial_evidence_recall@10,reciprocal_rank_at_10,reciprocal_rank_at_50
bm25,pooled,5a8b57f25542995d1e6f1371,comparison,hard,Were Scott Derrickson and Ed Wood of the same nationality?,Ed Wood | Scott Derrickson,"Woodson, Arkansas | Sinister (film) | Scott Derrickson | Conrad Brooks | Ed Wood (film) | Ender's Game (series) | Out of Sight | Deliver Us from Evil (2014 film) | Escalante Petrified Forest State Park | Doctor Strange (2016 film) | Gone in 60 Seconds (2000 film) | Teen Titans (season 4) | Scottsburg Courthouse Square Historic District | Josey Scott | Infinity Cat Recordings | National Lampoon 1964 High School Yearbook Parody | Scott Christian College | Lady Antebellum | Piccard Balloons | List of Teen Titans episodes | The Man in the High Castle (TV series) | Out in Fifty | Mike Beard (politician) | John MacGregor (VC) | Battle of Belleau Wood | Aisne-Marne American Cemetery and Memorial | The Petrified Forest | John Scott (ice hockey) | Calvin Tyler Scott | Scott County Transit | Trash Box | Silene stenophylla | Dale Evans | Suicide Squad (film) | Jacqueline Winsor | Hirabayashi v. United States | Vice President of Panama | Scott Parkin | The Marvelous Land of Oz | The Hanging Tree | USS Belleau Wood | Martin Mahoney | Elmo M. Haney | Keith Richards | Teen Titans (season 1) | Tyler Bates | Crackers: The Christmas Party Album | Asset classes | Victoria Hanley | Brown",0,1,1.0,0,0,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333
bm25,pooled,5a8c7595554299585d9e36b6,bridge,hard,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Kiss and Tell (1945 film) | Shirley Temple,"A Kiss for Corliss | Meet Corliss Archer (TV series) | Kiss and Tell (1945 film) | Village accountant | Vice President of Panama | Abteilungsleiter (NSDAP) | Secretary of State for Constitutional Affairs | Savage Weekend | City of Angels (film) | Hannah Gale | Lord High Treasurer | Sunset at Chaophraya (2013 film) | Kathy Sullivan (Australian politician) | Lay the Favorite | 2000 ICC KnockOut Trophy squads | Holden-Keating Gang | Wonder Woman (2017 film) | Earl and Edgar McGraw | Swedish general election, 1982 | Thomas Shea | Roberta Vinci | In the Realm of the Hackers | Hungarian Communist Party | 2003 Kids' Choice Awards | Beauty and the Beast (1991 film) | Stay (Shakespears Sister song) | Volunteer Political Party | FedMart | Baron Dunalley | A Miser Brothers' Christmas | Scott Christian College | Likhoradka | European 10,000m Cup | Sunset at Chaophraya (1996 film) | Harsh Times | Christian Bale filmography | 2010 Commonwealth Games | Kiss (Carly Rae Jepsen album) | Yvonne Ridley | Sneha (actress) | Joe Gilmore | General Hospital cast members | Le Conversazioni | Bradford P. Campbell | United States Senate election in Illinois, 1978 | Robert Nagy (tenor) | Dumb and Dumberer: When Harry Met Lloyd | Palaivana Solai (1981 film) | People's Socialist Republic of Albania | History of Wales",0,1,1.0,0,0,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333
bm25,pooled,5a85ea095542994775f606a8,bridge,hard,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs | The Hork-Bajir Chronicles,"Animorphs | List of Square Enix companion books | Victoria Hanley | Andre Norton Award | The Hork-Bajir Chronicles | Left Behind: The Kids | Nebula Award for Best Novel | Aye, and Gomorrah, and other stories | The Divide trilogy | Emma Bull | James Burke (science historian) | Damon Dark | Ender's Game (series) | David S. Touretzky | Ambulanse | From Unknown Worlds | Etiquette &amp; Espionage | Manga Bible (series) | Apprentice Adept | The Legend of Korra | Kimberly Young | Lake District Mysteries | Shadowshaper | Vacuum Diagrams | City of Angels (film) | List of The Legend of Korra episodes | Health services research | The Rest of the Robots | Science Fantasy (magazine) | Vala Mal Doran | The Physics of Superheroes | Mai Al-Nakib | Sally Gibson | Rory Williams | Final Fantasy VII: Advent Children | Irish Fairy Tales | Young adult fiction | Kingsglaive: Final Fantasy XV | Monster Force | The Marvelous Land of Oz | Who Goes There? (collection) | Gateway College of Architecture and Design | A Good Man Is Hard to Find and Other Stories | Montezuma Castle National Monument | Chrome, Smoke &amp; BBQ | The Magical Legend of the Leprechauns | Merlin Book 10: Shadows on the Stars | Call of Duty 4: Modern Warfare | Portal (series) | Night School: the Web Series",1,1,1.0,0,1,1.0,0.5,1.0,1.0,1.0,1.0
bm25,pooled,5adbf0a255429947ff17385a,comparison,hard,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Esma Sultan Mansion | Laleli Mosque,"Esma Sultan Mansion | Sultan Ahmed Mosque | Laleli Mosque | Djamaâ el Kebir | Gevheri Kadın | Esma Sultan (daughter of Abdul Hamid I) | Esma Sultan (daughter of Ahmed III) | Esma Sultan (daughter of Abdülaziz) | Azam mosque of Qom | Nusretiye Clock Tower | Esma Sultan | Hysen Pasha Mosque | Hatton Castle, Aberdeenshire | Tashkopryu Mosque | Clock Tower of Murshidabad | Asset classes | Eski Imaret Mosque | National Archives of Bangladesh | New Bolton Center | Fort Diu | Angus cattle | Strawberry Park, Cheshire | Kingsley Dam | Olathe East High School | Silene menziesii | Arabs in India | Low pressure receptors | Digital Media Factory | Arrow Rock, Missouri | Kumanovo Clock Tower | Nanna (Norse deity) | Mary Poppins (song) | Birchwood Mall | Copenhagen Malmö Port | List of tallest buildings in São Paulo | Pierre Bossier Mall | Shreveport Steamer | Ellenbrook, Western Australia | Trash Box | Russkiy Toy | Graduados | Wolong Special Administrative Region | Gina Pareño | Grantley Adams International Airport | Inquiline | Infinity Cat Recordings | Villard (imprint) | Oregon Ducks football | Ferry Cross the Mersey | Middlebourne Historic District",1,1,1.0,0,1,1.0,0.5,1.0,1.0,1.0,1.0
bm25,pooled,5a8e3ea95542995a26add48d,bridge,hard,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Adriana Trigiani | Big Stone Gap (film),"Big Stone Gap (film) | I Love NY (2015 film) | Just Another Romantic Wrestling Comedy | Nola (film) | Staten Island | Clinton, Minnesota | When Harry Met Sally... | New York State Writers Hall of Fame | Song Ji-hyo | David Alden | Kenneth LaValle | Staten Island Technical High School | 712 Fifth Avenue | St. George, Staten Island | New York Society of Model Engineers | New York Life Insurance Building (Montreal) | Winfred Blevins | Aurelio Valle | Clock Tower of Murshidabad | Feirstein Graduate School of Cinema | Grace Church School | Julien Nitzberg | Gargoyles (TV series) | It Could Happen to You (1994 film) | Gary Anthony Williams | Karel Dežman | West Yorkshire Association Football League | J. J. Syvrud | Libocedrus | Andrea Stewart-Cousins | Alexis Soriano | Jonathan Michael Ansell | A. C. Tirulokchandar | Columbia University | Newark, New Jersey | 1 Wall Street Court | Eastern Hills Mall | List of Interstate Highways in New York | Juliet | Meg Ryan | Hercules (1997 film) | Crataegus pinnatifida | Lower Louviers and Chicken Alley | List of The Office (U.S. TV series) characters | List of tallest buildings in São Paulo | Wonder Woman (2017 film) | New York Life Building | Kansas City jazz | The Lightkeepers | Staten Island Borough Hall",1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
bm25,pooled,5abd94525542992ac4f382d2,bridge,hard,2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014 S/S | Winner (band),2014 S/S | Seventeen discography | SF9 (band) | Madtown | List of songs written by Ravi | History (band) | Winner (band) | Cho Kyuhyun | The Wonder Who? | B2K | Serri (singer) | List of awards and nominations received by Shinee | Spellbound (TVXQ album) | Under the Blue Moon | BTS discography | Catch Me (album) | Fall Out Boy | You Can't Kill Stephen King | Boots (album) | Aquarium (Aqua album) | Catch Me (TVXQ song) | Something (TVXQ song) | Daughtry (album) | Uptown 3000 | R-Point | Changmin | Baby Girl (Sugarland song) | Every End of the Day | Headlines! | A Boy in a Man's World | Billy Ray Cyrus discography | Thirty Eight (album) | List of songs recorded by TVXQ | Voice (film) | Hold Me in Your Arms (album) | Morbo (band) | Live World Tour: Catch Me in Seoul | Under an Hour | Imajin | Perfect Day (Cascada album) | Heaven Bound (I'm Ready) | Lollipop (Candyman) | Headfirst Slide into Cooperstown on a Bad Bet | Yunho | List of TVXQ concert tours | Cat Butt | Test Icicles | Mind If We Make Love to You | Daze (band) | Life of a Ghost,1,1,1.0,0,0,1.0,0.5,0.5,1.0,1.0,1.0
bm25,pooled,5a85b2d95542997b5ce40028,bridge,hard,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh | Management consulting,"Method Man | Manorama (Tamil actress) | Changmin | Lil Ru | Swifty McVay | Ephraim Sklyansky | Management consulting | Serri (singer) | Lord Byron (opera) | E. Mavis Hetherington | Amaruk Kayshapanta | Boxes (Icehouse album) | ELDee | Eenasul Fateh | 2006 Alabama Crimson Tide football team | Lene Nystrøm | Live in Buffalo: July 4th, 2004 | Criss Angel | Drama Desk Award for Outstanding Solo Performance | Brewster McCloud | Sal Mineo | BAFTA Rising Star Award | Kill Kill (song) | Andraé Crouch | A Christmas Carol | Freudiana | The Mask of Dimitrios | Henry J. Kaiser | Leg of mutton nude | Yunho | The Petrified Forest | Pulmonary rehabilitation | Almost Saturday Night | I, Too (Langston Hughes poem) | Chak 86/6.R Sahiwal | Beauty and the Beast (1991 film) | Elinor Kershaw | Something (TVXQ song) | Sneha (actress) | John Fogerty (album) | Silver Bells (film) | Phillip Boykin | Mark Britten | Let That Be Your Last Battlefield | Singh | John Ince (actor) | Robby Benson | 2011 Cleveland Browns season | Aquarium (Aqua album) | Wayne Garland",0,0,1.0,0,0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285
bm25,pooled,5a87ab905542996e4f3088c1,bridge,hard,The arena where the Lewiston Maineiacs played their home games can seat how many people?,Androscoggin Bank Colisée | Lewiston Maineiacs,"Lewiston Maineiacs | 2006–07 QMJHL season | Dwyer Arena | Billings Bulls | 2011–12 QMJHL season | Case Gym | Robins Center | 1959 Georgia Tech Yellow Jackets football team | 1953 Georgia Tech Yellow Jackets football team | 2013–14 Vermont Catamounts men's basketball team | 2012–13 Vermont Catamounts men's basketball team | 2007 Cleveland Browns season | 2015–16 Vermont Catamounts men's basketball team | 2015–16 Colorado Buffaloes men's basketball team | 2016–17 Colorado Buffaloes men's basketball team | 2014–15 Colorado Buffaloes men's basketball team | 2015 Texas Tech Red Raiders football team | 2013–14 VCU Rams men's basketball team | 2012–13 VCU Rams men's basketball team | 2009 Colorado Buffaloes football team | 2012 Louisville Cardinals football team | 1964 Georgia Tech Yellow Jackets football team | 2011 Cleveland Browns season | Lewiston, Dakota County, Minnesota | Santa's Workshop (Colorado) | Sport &amp; Leisure Swifts F.C. | 2015 Colorado Buffaloes football team | 2014 Colorado Buffaloes football team | 1958 Arizona State Sun Devils football team | 2016 Texas Tech Red Raiders football team | Shreveport Steamer | 2009–10 VCU Rams men's basketball team | 2011 Colorado Buffaloes football team | 2012 Texas Tech Red Raiders football team | 1951 Arizona State Sun Devils football team | 1954 Arizona State Sun Devils football team | 2012 Colorado Buffaloes football team | 1956 Arizona State Sun Devils football team | 1961 Arizona State Sun Devils football team | 1987 Georgia Tech Yellow Jackets football team | 1952 Arizona State Sun Devils football team | 1955 Arizona State Sun Devils football team | 1988 Georgia Tech Yellow Jackets football team | 2012 Kansas City Royals season | The Hork-Bajir Chronicles | Oregon Ducks football | 2009 Texas Tech Red Raiders football team | 1930 Tennessee Volunteers football team | 2011–12 Vermont Catamounts men's basketball team | Children's Mercy Park",1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
bm25,pooled,5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Annie Morton | Terry Richardson,"Annie Morton | Kenton Richardson | Curt Menefee | Gumbo (PJ Morton album) | Lee Terry | Gamer (film) | Lady Gaga x Terry Richardson | Symphony No. 5 (Rouse) | The Magic Christian (novel) | Tara Strong | Tara Strong filmography | Mamzer | Delicatessen (film) | Madonna (book) | Le Conversazioni | Luke Clark | Snoecks | Brooklyn Nine-Nine | Berghuis v. Thompkins | Ibrahim Tall | Banshee | Nico Pandiani | Diplomatic bag | Boy next door | List of multi-sport athletes | Amanda Lepore | Dhoolpet | Advice column | Lewis Young | Jimmy Bartel | Batonishvili | Irish Thoracic Society | The Lone Ranger (2013 film) | General Hospital cast members | Dean of the House (Canada) | Shadowshaper | Akbariyya | Ephigenia of Ethiopia | Accessible Media | Likhoradka | Casey County, Kentucky | Annie Easley | Pulmonary rehabilitation | Real estate technology | Apple Remote Desktop | Piano Girl | Leigh Broxham | Body cavity search | MEO Rip Curl Pro Portugal | Working fluid",1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
bm25,pooled,5a8db19d5542994ba4e3dd00,comparison,hard,Are Local H and For Against both from the United States?,For Against | Local H,"Local H | Adnan Akmal | 80th United States Congress | Conscription in the United States | Hirabayashi v. United States | Protests against Donald Trump | Amherst, Massachusetts | Junior school | For Against | List of largest pharmaceutical settlements | United States elections, 2018 | Patty and Selma | Afghan Civil War (1996–2001) | Mary Elizabeth Day Nursery | Rubicon Drinks | Second Anglo-Afghan War | Summers v. Earth Island Institute | The Longer We Make Love | Child Welfare League of America | Ethiopia–Japan relations | Battle of the Ch'ongch'on River | Discovery Networks Benelux | Charles Charamba | American Expeditionary Forces | Samuel Eliot Morison | NetSupport Manager | Suffrajett | Tonkin Gulf Yacht Club | Muumuu | Jounen Kwéyòl | Unincorporated Far West Region | Arabs in India | Reagan Democrat | Children's Mercy Park | Battle of Belleau Wood | Ferry Cross the Mersey | United States midterm election | United States presidential election, 2016 | Cultural Property (Japan) | Ophur | Battle of Fallen Timbers | Vilsandi | British people | Escape from Furnace | Lepidozamia | United Kingdom local elections, 2013 | Greater Manchester County Council | Andre Norton Award | Pasek and Paul | High Commission of Australia, London",1,1,1.0,0,0,1.0,0.5,0.5,1.0,1.0,1.0
