example_id,question,question_type,gold_titles,bm25_top_k_titles,dense_top_k_titles,bm25_any_evidence_recall@2,bm25_any_evidence_recall@5,bm25_any_evidence_recall@10,dense_any_evidence_recall@2,dense_any_evidence_recall@5,dense_any_evidence_recall@10
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,comparison,Ed Wood | Scott Derrickson,"Doctor Strange (2016 film) | Woodson, Arkansas | Conrad Brooks | Scott Derrickson | Sinister (film) | Ed Wood (film) | Tyler Bates | Deliver Us from Evil (2014 film) | Adam Collis | Ed Wood","Ed Wood (film) | Ed Wood | Adam Collis | Woodson, Arkansas | Conrad Brooks | Scott Derrickson | Sinister (film) | Tyler Bates | Deliver Us from Evil (2014 film) | Doctor Strange (2016 film)",False,True,True,True,True,True
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,bridge,Kiss and Tell (1945 film) | Shirley Temple,A Kiss for Corliss | Secretary of State for Constitutional Affairs | Meet Corliss Archer (TV series) | Village accountant | Kiss and Tell (1945 film) | Lord High Treasurer | Charles Craft | Shirley Temple | Janet Waldo | Meet Corliss Archer,Kiss and Tell (1945 film) | A Kiss for Corliss | Meet Corliss Archer (TV series) | Janet Waldo | Shirley Temple | Meet Corliss Archer | Charles Craft | Secretary of State for Constitutional Affairs | Village accountant | Lord High Treasurer,False,True,True,True,True,True
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",bridge,Animorphs | The Hork-Bajir Chronicles,Animorphs | The Hork-Bajir Chronicles | Left Behind: The Kids | List of Square Enix companion books | Etiquette &amp; Espionage | Andre Norton Award | Victoria Hanley | Science Fantasy (magazine) | Shadowshaper | The Divide trilogy,Victoria Hanley | Animorphs | The Hork-Bajir Chronicles | The Divide trilogy | Andre Norton Award | List of Square Enix companion books | Left Behind: The Kids | Etiquette &amp; Espionage | Science Fantasy (magazine) | Shadowshaper,True,True,True,True,True,True
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,comparison,Esma Sultan Mansion | Laleli Mosque,Esma Sultan Mansion | Laleli Mosque | Sultan Ahmed Mosque | Djamaâ el Kebir | Gevheri Kadın | Esma Sultan (daughter of Abdülaziz) | Esma Sultan (daughter of Ahmed III) | Esma Sultan (daughter of Abdul Hamid I) | Esma Sultan | Küçük Hüseyin Pasha,Esma Sultan Mansion | Laleli Mosque | Sultan Ahmed Mosque | Esma Sultan (daughter of Abdülaziz) | Esma Sultan | Esma Sultan (daughter of Abdul Hamid I) | Esma Sultan (daughter of Ahmed III) | Djamaâ el Kebir | Gevheri Kadın | Küçük Hüseyin Pasha,True,True,True,True,True,True
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",bridge,Adriana Trigiani | Big Stone Gap (film),"Big Stone Gap (film) | New York Society of Model Engineers | Clinton, Minnesota | I Love NY (2015 film) | Nola (film) | Just Another Romantic Wrestling Comedy | Great Eastern Conventions | Adriana Trigiani | Hamish and Andy's Gap Year | Kingston Morning","Big Stone Gap (film) | I Love NY (2015 film) | Great Eastern Conventions | Nola (film) | Kingston Morning | Just Another Romantic Wrestling Comedy | Hamish and Andy's Gap Year | Adriana Trigiani | Clinton, Minnesota | New York Society of Model Engineers",True,True,True,True,True,True
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,bridge,2014 S/S | Winner (band),2014 S/S | Madtown | Seventeen discography | List of songs written by Ravi | SF9 (band) | Winner (band) | Cho Kyuhyun | History (band) | BTS discography | List of awards and nominations received by Shinee,2014 S/S | BTS discography | List of awards and nominations received by Shinee | Seventeen discography | History (band) | Cho Kyuhyun | Madtown | List of songs written by Ravi | Winner (band) | SF9 (band),True,True,True,True,True,True
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,bridge,Eenasul Fateh | Management consulting,Lil Ru | Management consulting | Amaruk Kayshapanta | ELDee | Method Man | Eenasul Fateh | Criss Angel | James P. Comer | Indriati Iskak | Mick (DJ),Eenasul Fateh | Management consulting | ELDee | Amaruk Kayshapanta | Criss Angel | Lil Ru | Method Man | James P. Comer | Indriati Iskak | Mick (DJ),True,True,True,True,True,True
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,bridge,Androscoggin Bank Colisée | Lewiston Maineiacs,Dwyer Arena | Loan modification in the United States | 2011–12 QMJHL season | Billings Bulls | Lewiston Maineiacs | 2006–07 QMJHL season | Case Gym | Robins Center | 2007 Memorial Cup | Androscoggin Bank Colisée,Lewiston Maineiacs | Dwyer Arena | Androscoggin Bank Colisée | Case Gym | 2006–07 QMJHL season | Billings Bulls | Robins Center | 2011–12 QMJHL season | 2007 Memorial Cup | Loan modification in the United States,False,True,True,True,True,True
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",bridge,Annie Morton | Terry Richardson,Annie Morton | Kenton Richardson | Index Magazine | Terry Richardson | Gumbo (PJ Morton album) | Madonna (book) | Lady Gaga x Terry Richardson | Amanda Lepore | Snoecks | Piano Girl,Kenton Richardson | Annie Morton | Lady Gaga x Terry Richardson | Madonna (book) | Amanda Lepore | Gumbo (PJ Morton album) | Terry Richardson | Index Magazine | Piano Girl | Snoecks,True,True,True,True,True,True
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,comparison,For Against | Local H,"Local H | For Against | Amherst, Massachusetts | Suffrajett | Ophur | Mendocino County GMO Ban | William H. Cook Water Tank House | United States Senate election in Illinois, 1978 | Wilford H. Fawcett House | Hallelujah! I'm a Bum (album)","Local H | Mendocino County GMO Ban | For Against | Hallelujah! I'm a Bum (album) | Wilford H. Fawcett House | William H. Cook Water Tank House | Ophur | Amherst, Massachusetts | United States Senate election in Illinois, 1978 | Suffrajett",True,True,True,True,True,True
