retrieval_run_id,method,setting,example_id,rank,title,score
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,1,Battle of Guam (1944),0.67972123622894287
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,2,Battle of Manila (1945),0.63578176498413086
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,3,Battle of Manila (1574),0.6170116662979126
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,4,Battle of Yao (Japan),0.46772617101669312
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,5,Battle of Alhandic,0.42558377981185913
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,6,Battle of Calabria,0.39499983191490173
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,7,Battle of Silda,0.32663527131080627
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,8,Battle of Aspromonte,0.32115554809570312
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,9,Battle of the Burbia River,0.31110143661499023
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a71166d5542994082a3e576,10,Battle of Klushino,0.29542532563209534
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,1,"Lake Louisvilla, Louisville",0.76149141788482666
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,2,"Kentucky County, Virginia",0.55288219451904297
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,3,"Oldham County, Kentucky",0.46832859516143799
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,4,"Casey County, Kentucky",0.44950008392333984
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,5,Benjamin Logan,0.32006433606147766
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,6,John Logan (pioneer),0.31155860424041748
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,7,John Bowman (pioneer),0.30719202756881714
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,8,Battle of Blue Licks,0.22984801232814789
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,9,Westervelt massacre,0.21365094184875488
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7133565542994082a3e65c,10,Tara Conner,0.18432033061981201
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,1,"Old Trafford, Greater Manchester",0.62104964256286621
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,2,Trafford Bar tram stop,0.60798299312591553
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,3,Gorse Hill,0.50241577625274658
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,4,Manchester United F.C.,0.44193810224533081
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,5,Manchester United F.C. in European football,0.43069326877593994
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,6,Ragbi Klub Mornar Bar,0.36150139570236206
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,7,Aquinas Old Collegians Football Club,0.35135450959205627
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,8,Maxine's Tap Room,0.27378195524215698
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,9,Trojans Rugby Football Club,0.21872633695602417
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713a5a5542994082a3e6a9,10,ŠNK Radgona,0.19698253273963928
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,1,Alvaro Mexia,0.7604791522026062
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,2,Indigenous peoples of Florida,0.30591076612472534
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,3,Diplomatic mission,0.27847617864608765
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,4,United States Mission to the European Union,0.21451815962791443
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,5,Diplomatic bag,0.18777552247047424
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,6,"Embassy of the United States, Nairobi",0.17121963202953339
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,7,Head of mission,0.15344361960887909
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,8,"High Commission of Australia, London",0.14411169290542603
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,9,List of diplomatic missions of Azerbaijan,0.12797358632087708
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a713ea95542994082a3e6e4,10,"Embassy of China, London",0.085166797041893005
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,1,Kansas Song,0.76356172561645508
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,2,University of Kansas,0.61656612157821655
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,3,Downtown Kansas City,0.43078392744064331
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,4,University of Missouri–Kansas City,0.43046441674232483
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,5,Kansas City jazz,0.40384617447853088
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,6,"North Kansas City, Missouri",0.4003635048866272
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,7,Kansas City metropolitan area,0.38416695594787598
dense_per_question_n500_d10_20260726_r01,dense,per_question,5a7166395542994082a3e814,8,University of the Incarnate Word,0.38180431723594666
