setting,example_id,question_type,level,question,gold_titles,k,dense_full_at_k,rerank_full_at_k,dense_gold_ranks,rerank_gold_ranks,transition
pooled,5a71166d5542994082a3e576,comparison,hard,"Which battle occurred first, the Battle of Manila or the Battle of Guam?",Battle of Guam (1944) | Battle of Manila (1945),2,1,1,"{""Battle of Guam (1944)"":1,""Battle of Manila (1945)"":2}","{""Battle of Guam (1944)"":1,""Battle of Manila (1945)"":2}",stable_hit
pooled,5a71166d5542994082a3e576,comparison,hard,"Which battle occurred first, the Battle of Manila or the Battle of Guam?",Battle of Guam (1944) | Battle of Manila (1945),5,1,1,"{""Battle of Guam (1944)"":1,""Battle of Manila (1945)"":2}","{""Battle of Guam (1944)"":1,""Battle of Manila (1945)"":2}",stable_hit
pooled,5a71166d5542994082a3e576,comparison,hard,"Which battle occurred first, the Battle of Manila or the Battle of Guam?",Battle of Guam (1944) | Battle of Manila (1945),10,1,1,"{""Battle of Guam (1944)"":1,""Battle of Manila (1945)"":2}","{""Battle of Guam (1944)"":1,""Battle of Manila (1945)"":2}",stable_hit
pooled,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Lake Louisvilla, Louisville | Oldham County, Kentucky",2,0,1,"{""Lake Louisvilla, Louisville"":1,""Oldham County, Kentucky"":3}","{""Lake Louisvilla, Louisville"":1,""Oldham County, Kentucky"":2}",rescue
pooled,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Lake Louisvilla, Louisville | Oldham County, Kentucky",5,1,1,"{""Lake Louisvilla, Louisville"":1,""Oldham County, Kentucky"":3}","{""Lake Louisvilla, Louisville"":1,""Oldham County, Kentucky"":2}",stable_hit
pooled,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Lake Louisvilla, Louisville | Oldham County, Kentucky",10,1,1,"{""Lake Louisvilla, Louisville"":1,""Oldham County, Kentucky"":3}","{""Lake Louisvilla, Louisville"":1,""Oldham County, Kentucky"":2}",stable_hit
pooled,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,"Manchester United F.C. in European football | Old Trafford, Greater Manchester",2,0,0,"{""Manchester United F.C. in European football"":8,""Old Trafford, Greater Manchester"":1}","{""Manchester United F.C. in European football"":3,""Old Trafford, Greater Manchester"":1}",stable_miss
pooled,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,"Manchester United F.C. in European football | Old Trafford, Greater Manchester",5,0,1,"{""Manchester United F.C. in European football"":8,""Old Trafford, Greater Manchester"":1}","{""Manchester United F.C. in European football"":3,""Old Trafford, Greater Manchester"":1}",rescue
pooled,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,"Manchester United F.C. in European football | Old Trafford, Greater Manchester",10,1,1,"{""Manchester United F.C. in European football"":8,""Old Trafford, Greater Manchester"":1}","{""Manchester United F.C. in European football"":3,""Old Trafford, Greater Manchester"":1}",stable_hit
pooled,5a713ea95542994082a3e6e4,bridge,hard,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro Mexia | Indigenous peoples of Florida,2,0,0,"{""Alvaro Mexia"":1,""Indigenous peoples of Florida"":20}","{""Alvaro Mexia"":1,""Indigenous peoples of Florida"":3}",stable_miss
pooled,5a713ea95542994082a3e6e4,bridge,hard,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro Mexia | Indigenous peoples of Florida,5,0,1,"{""Alvaro Mexia"":1,""Indigenous peoples of Florida"":20}","{""Alvaro Mexia"":1,""Indigenous peoples of Florida"":3}",rescue
pooled,5a713ea95542994082a3e6e4,bridge,hard,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro Mexia | Indigenous peoples of Florida,10,0,1,"{""Alvaro Mexia"":1,""Indigenous peoples of Florida"":20}","{""Alvaro Mexia"":1,""Indigenous peoples of Florida"":3}",rescue
pooled,5a7166395542994082a3e814,bridge,hard,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song | University of Kansas,2,1,1,"{""Kansas Song"":1,""University of Kansas"":2}","{""Kansas Song"":2,""University of Kansas"":1}",stable_hit
pooled,5a7166395542994082a3e814,bridge,hard,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song | University of Kansas,5,1,1,"{""Kansas Song"":1,""University of Kansas"":2}","{""Kansas Song"":2,""University of Kansas"":1}",stable_hit
pooled,5a7166395542994082a3e814,bridge,hard,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song | University of Kansas,10,1,1,"{""Kansas Song"":1,""University of Kansas"":2}","{""Kansas Song"":2,""University of Kansas"":1}",stable_hit
pooled,5a71717d5542994082a3e834,bridge,hard,"What star of ""Attack of the Gryphon"" was also a voice artist in Johnny Bravo?  ",Gryphon (film) | Larry Drake,2,1,0,"{""Gryphon (film)"":2,""Larry Drake"":1}","{""Gryphon (film)"":1,""Larry Drake"":3}",damage
pooled,5a71717d5542994082a3e834,bridge,hard,"What star of ""Attack of the Gryphon"" was also a voice artist in Johnny Bravo?  ",Gryphon (film) | Larry Drake,5,1,1,"{""Gryphon (film)"":2,""Larry Drake"":1}","{""Gryphon (film)"":1,""Larry Drake"":3}",stable_hit
pooled,5a71717d5542994082a3e834,bridge,hard,"What star of ""Attack of the Gryphon"" was also a voice artist in Johnny Bravo?  ",Gryphon (film) | Larry Drake,10,1,1,"{""Gryphon (film)"":2,""Larry Drake"":1}","{""Gryphon (film)"":1,""Larry Drake"":3}",stable_hit
pooled,5a717d4c5542994082a3e854,comparison,hard,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Alexandrov | Semyon Aranovich Gershgorin,2,1,1,"{""Pavel Alexandrov"":1,""Semyon Aranovich Gershgorin"":2}","{""Pavel Alexandrov"":1,""Semyon Aranovich Gershgorin"":2}",stable_hit
pooled,5a717d4c5542994082a3e854,comparison,hard,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Alexandrov | Semyon Aranovich Gershgorin,5,1,1,"{""Pavel Alexandrov"":1,""Semyon Aranovich Gershgorin"":2}","{""Pavel Alexandrov"":1,""Semyon Aranovich Gershgorin"":2}",stable_hit
