criterion,setting,k,question_type,n,dense_hits,rerank_hits,stable_miss,rescues,damages,stable_hit,rescue_rate,damage_rate,net_count,net_rate,rescue_given_dense_miss,damage_given_dense_hit
full_evidence_recall,pooled,2,overall,500,122,218,262,116,20,102,0.232,0.04,96,0.192,0.30687830687830686,0.16393442622950818
full_evidence_recall,pooled,2,bridge,404,82,153,234,88,17,65,0.21782178217821782,0.04207920792079208,71,0.17574257425742573,0.2732919254658385,0.2073170731707317
full_evidence_recall,pooled,2,comparison,96,40,65,28,28,3,37,0.2916666666666667,0.03125,25,0.2604166666666667,0.5,0.075
full_evidence_recall,pooled,5,overall,500,251,327,153,96,20,231,0.192,0.04,76,0.152,0.3855421686746988,0.0796812749003984
full_evidence_recall,pooled,5,bridge,404,173,239,147,84,18,155,0.2079207920792079,0.04455445544554455,66,0.16336633663366337,0.36363636363636365,0.10404624277456648
full_evidence_recall,pooled,5,comparison,96,78,88,6,12,2,76,0.125,0.020833333333333332,10,0.10416666666666667,0.6666666666666666,0.02564102564102564
full_evidence_recall,pooled,10,overall,500,332,402,91,77,7,325,0.154,0.014,70,0.14,0.4583333333333333,0.02108433734939759
full_evidence_recall,pooled,10,bridge,404,246,309,89,69,6,240,0.1707920792079208,0.01485148514851485,63,0.15594059405940594,0.43670886075949367,0.024390243902439025
full_evidence_recall,pooled,10,comparison,96,86,93,2,8,1,85,0.08333333333333333,0.010416666666666666,7,0.07291666666666667,0.8,0.011627906976744186
full_evidence_recall,per_question,2,overall,500,154,233,237,109,30,124,0.218,0.06,79,0.158,0.315028901734104,0.19480519480519481
full_evidence_recall,per_question,2,bridge,404,105,168,209,90,27,78,0.22277227722772278,0.06683168316831684,63,0.15594059405940594,0.3010033444816054,0.2571428571428571
full_evidence_recall,per_question,2,comparison,96,49,65,28,19,3,46,0.19791666666666666,0.03125,16,0.16666666666666666,0.40425531914893614,0.061224489795918366
full_evidence_recall,per_question,5,overall,500,326,366,100,74,34,292,0.148,0.068,40,0.08,0.42528735632183906,0.10429447852760736
full_evidence_recall,per_question,5,bridge,404,239,276,97,68,31,208,0.16831683168316833,0.07673267326732673,37,0.09158415841584158,0.4121212121212121,0.1297071129707113
full_evidence_recall,per_question,5,comparison,96,87,90,3,6,3,84,0.0625,0.03125,3,0.03125,0.6666666666666666,0.034482758620689655
any_evidence_recall,pooled,5,overall,500,481,497,1,18,2,479,0.036,0.004,16,0.032,0.9473684210526315,0.004158004158004158
any_evidence_recall,pooled,5,bridge,404,388,401,1,15,2,386,0.03712871287128713,0.0049504950495049506,13,0.03217821782178218,0.9375,0.005154639175257732
any_evidence_recall,pooled,5,comparison,96,93,96,0,3,0,93,0.03125,0.0,3,0.03125,1.0,0.0
any_evidence_recall,per_question,5,overall,500,491,498,0,9,2,489,0.018,0.004,7,0.014,1.0,0.004073319755600814
any_evidence_recall,per_question,5,bridge,404,396,402,0,8,2,394,0.019801980198019802,0.0049504950495049506,6,0.01485148514851485,1.0,0.005050505050505051
any_evidence_recall,per_question,5,comparison,96,95,96,0,1,0,95,0.010416666666666666,0.0,1,0.010416666666666666,1.0,0.0
