example_id,setting,question_type,level,question,gold_titles,criterion,k,bm25_hit,dense_hit,direction,bm25_retrieved_titles,dense_retrieved_titles
5a7133565542994082a3e65c,pooled,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Lake Louisvilla, Louisville | Oldham County, Kentucky",full_evidence_recall,5,0,1,dense_only,"Lake Louisvilla, Louisville | Casey County, Kentucky | Tara Conner | Battle of Blue Licks | Brown County, Kansas | Kentucky County, Virginia | Higgins Lake | Woodsville, New Hampshire | John Logan (pioneer) | Commanda Lake | Oldham County, Kentucky | Kirton, Suffolk | Kunming | Brown State Fishing Lake | Fishing Lake | Osage State Fishing Lake | Keith County, Nebraska | Lemoyne, Nebraska | Sweden | Wytheville, Virginia | Carroll County, New Hampshire | Dover, New Hampshire | Higgins Lake, Michigan | Neosho State Fishing Lake | Sullivan County, New Hampshire | Seminole County, Oklahoma | Jeff Hoover | Hampden County, Massachusetts | Ellenbrook, Western Australia | John Bowman (pioneer) | Humberside | Riverview, New Brunswick | Marion, Arkansas | San Luis Obispo, California | Woodson, Arkansas | Office of Population Affairs | A Boy in a Man's World | Ogallala, Nebraska | List of Kent County Cricket Club captains | Shawnee State Fishing Lake | Canton, Michigan | Scott County Transit | Memphis metropolitan area | Gorse Hill | Crater Lake National Park | Lake District Mysteries | Breakneck Brook | Live at Winterland 1978 (Avengers album) | Amherst, Massachusetts | Mankato, Minnesota","Lake Louisvilla, Louisville | Kentucky County, Virginia | Oldham County, Kentucky | Casey County, Kentucky | Shawnee State Fishing Lake | Lakeland, Tennessee | Wheeling Island | Osage State Fishing Lake | Kentucky Oaks Mall | Brown State Fishing Lake | Greater Newport Rural Historic District | Brown County, Kansas | Jeff Hoover | Scottsburg Courthouse Square Historic District | Higgins Lake, Michigan | Shawnee Mission District Stadium | McLean, Virginia | Higgins Lake | Cromwell's Run Rural Historic District | Benjamin Logan | Kansas City metropolitan area | Lake District Mysteries | John Logan (pioneer) | CommunityAmerica Ballpark | Commanda Lake | West Memphis, Arkansas | John Bowman (pioneer) | Orlinda, Tennessee | Wytheville, Virginia | Superman: Tower of Power | Valhalla Highlands Historic District | Kent County Cricket Club in 2010 | .ky | National Archives of Zambia | Kent County Cricket Club in 2011 | Stacey Kent | Sullivan County, New Hampshire | Kent County Cricket Club in 2013 | Scott County Transit | Yangzong Lake | Kingsley Dam | Park City Center | 2008 Kansas City Wizards season | Muddy Creek Forks Historic District | Prophetstown State Park | Ingram–Schipper Farm | Middlebourne Historic District | Bratislava | Covington, Tennessee | Shreveport Steamer"
5a7166395542994082a3e814,pooled,bridge,hard,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song | University of Kansas,full_evidence_recall,5,0,1,dense_only,"University of Kansas | University of Missouri–Kansas City | University of the Incarnate Word | Kansas City jazz | North Kansas City, Missouri | Downtown Kansas City | Kansas City Scout | CommunityAmerica Ballpark | Kansas City metropolitan area | History of the Kansas City metropolitan area | Kansas Song | Kauffman Stadium | Arrowhead Stadium | Carnegie Mellon University in Qatar | Children's Mercy Park | Truman Sports Complex | Olive Branch, Mississippi | History of the Minnesota Twins | Woody Guthrie Folk Festival | Shawnee Mission District Stadium | Brown County, Kansas | Olathe East High School | Southaven, Mississippi | Wolfson College, Cambridge | Ontario Veterinary College | Penny (The Big Bang Theory) | Smyrna, Georgia | Biratnagar | Western University of Health Sciences | All-time Sporting Kansas City roster | Covington, Tennessee | List of tallest buildings in São Paulo | Texas Tech University | Marion, Arkansas | Civil War (college football game) | Charlotte metropolitan area | Neosho State Fishing Lake | United States Army | Inner Mongolia University of Technology | Fortaleza Metro | Mountbatten family | Germán Barranca | Southeastern Conference | Newark, New Jersey | Strasbourg | Buena Vista (brand) | Parkridge, Saskatoon | Mankato, Minnesota | Gerald R. Ford Presidential Library | Frank L. Schmidt","Kansas Song | University of Kansas | Shawnee Mission District Stadium | Truman Sports Complex | Downtown Kansas City | University of Missouri–Kansas City | Bishop Carroll Catholic High School | KOKO-FM | Kansas City jazz | Kapaun Mt. Carmel Catholic High School | North Kansas City, Missouri | CommunityAmerica Ballpark | Kansas City metropolitan area | University of the Incarnate Word | Arrowhead Stadium | History of the Kansas City metropolitan area | Kauffman Stadium | Oikos University shooting | Brown County, Kansas | Civil War (college football game) | Olathe East High School | Kansas City crime family | Children's Mercy Park | Wondering (Dirty Pretty Things song) | 2008 Kansas City Wizards season | 1943 NAIA Division I Men's Basketball Tournament | KGOT | 2016 Kansas City Royals season | For Against | 2017 Kansas City Royals season | Hikky Burr | Doehling–Heselton Memorial Trophy | Charles Deaton | I Don't Want to Go to School | Kevin Lockett | Graduation (album) | Family Reunion (Saliva song) | Oleson Park Music Pavilion | Umpqua Community College shooting | Fruit Bowl | Rutgers University | Portland State Vikings football under Jerry Glanville | Kon Kan | Brown State Fishing Lake | Southeastern Conference | Carnegie Mellon University | Alamo Heights SA | The College Dropout | Beat Happening/Screaming Trees | Kripalu Center"
5a71717d5542994082a3e834,pooled,bridge,hard,"What star of ""Attack of the Gryphon"" was also a voice artist in Johnny Bravo?  ",Gryphon (film) | Larry Drake,full_evidence_recall,5,0,1,dense_only,"Gryphon (film) | Steve Nallon | Hubert Gagnon | Ralph Giannini | Karel Dežman | Jeremy Schoenberg | MTV Video Music Award for Best New Artist | Musée Henri-Mathieu | Jeff Bennett | Gösta Prüzelius | Jonathan Michael Ansell | Lev Kuleshov | Stranger in the House (song) | Salvatore Testa | Every Voice | Shagai Plateau | The Voice Teens (Philippines season 1) | Do the Bartman | Sam Fisher (Splinter Cell) | Johnny Angel Wendell | Kingdom of Northumbria | Valentina (2008 film) | 1984 Tennessee Volunteers football team | BAFTA Rising Star Award | Battle of Blue Licks | Jerry Lucas | 1983 Tennessee Volunteers football team | Mark Britten | Kate Higgins | Lego Star Wars: The Video Game | Voice (film) | Jim Backus | Lost City (Stargate SG-1) | Billy Ray Cyrus discography | Mike Hogan (sportscaster) | Military history of Mexico | Savage's Station, Virginia | Afrikaans | Germán Barranca | Prosper Boulanger | Puerto Roc Records | Paddy O'Toole | Hollywood Star Lanes | Peter Torry | Thomas H. Gale House | Codornices Creek | Shashaa Tirupati | 1985 Tennessee Volunteers football team | Glee: The Music, The Power of Madonna | New York Society of Model Engineers",Larry Drake | Gryphon (film) | Van Partible | List of Johnny Bravo episodes | Enrique Grau | Jeff Bennett | Robby Benson | Jim Cummings | Johnny Angel | Frank Beard (musician) | Sherry Gunther | Kristof Konrad | Bruno Kirby | Roy Holder | Hubert Gagnon | Josey Scott | Camille Zamora | Blast! (musical) | Laura Osnes | John Lithgow | Nick Cordero | Lucas Grabeel | Jason Byrne (comedian) | Harry Bowen (actor) | Steve Nallon | Manuel Quiroga (violinist) | The Voice of Ireland (series 4) | Janet Waldo | Dave Meros | Valentina (2008 film) | Dan Castellaneta | Bill Barretta | Iroh | ♯JusticeForFlint | Richard Kind | Ron Bottcher | Stanton Y. Hill | James Franco | Brad Alexander | Tom Rothrock | Raymond Ochoa | Pietro Germi | Enrico Casarosa | Tara Strong | Tara Strong filmography | Joey Miyashima | Kerr Smith | Morbo (band) | Marta Ribera | Chinatown Nights (1929 film)
5a7252db5542990c210a4104,pooled,bridge,hard,What is the name of the oldest child that attended the Trump campaign-Russian meeting?,Donald Trump Jr. | Trump campaign–Russian meeting,full_evidence_recall,5,0,1,dense_only,"Donald Trump Jr. | Child Welfare League of America | Donald Trump (Last Week Tonight) | College of Charleston | Peterhouse, Cambridge | Donald Trump presidential campaign, 2000 | Garden Island Naval Chapel | David Urban | Doehling–Heselton Memorial Trophy | Kingdom of Northumbria | Ontario Veterinary College | Fred H. Hale Sr. | Mary Elizabeth Day Nursery | Cupressus | Nabi Tajima | Domitia Lepida the Elder | Djamaâ el Kebir | Campbell Field (Colorado) | Donald Trump in music | James P. Comer | Ismail Yusuf College | The Chessels | Outline of Ethiopia | Trump International Hotel Las Vegas | University of St Andrews | Libocedrus | Middle name | John Ingram McMorran | Brad Parscale | Trinity Hall Boat Club | List of ancient spiral stairs | The Bite in the Apple | Zeresenay Alemseged | Carol J. Adams | Prince Andrew, Duke of York | Immigration policy of Donald Trump | Dirleton Castle | Bull Hill | Myiodynastes | Jessica Mulroney | Capetian dynasty | September 16 military parade | Batonishvili | United States Army | Shagai Plateau | United States presidential election, 2016 | United States naval gunfire support debate | Callington Mill | Eastern Air Lines Shuttle | Cosmological interpretation of quantum mechanics","Trump campaign–Russian meeting | Donald Trump Jr. | Jessica Mulroney | Elliott Abrams | John Ingram McMorran | Nikolai Podgorny | Adrian Conan Doyle | Bu Xiaolin | Older Sister | Sergo Mikoyan | Louise Bryant | Patrick Kennedy (1823–1858) | Girl Seeks Father | William Flynn Martin | Gretchen Osgood Warren | Molly Childers | Jeff Strabone | Mikhail Suslov | Trump International Hotel Las Vegas | Ephraim Sklyansky | Russia 2018 FIFA World Cup bid | Mikhail Gorbachev | Monica Lewinsky | Robert Caesar Childers | Nancy Soderberg | Son of al Qaeda | Donald Trump (Last Week Tonight) | Pavel Alexandrov | Scout Tufankjian | Walt Zeboski | Gerry Adams | Andrei Kirilenko (politician) | Robert Barton | Donald Trump presidential campaign, 2000 | George H. W. Bush | Maureen Dragone | Peter W. Smith | Shirley Temple | Anastas Mikoyan | Olga Morozova | David Urban | Tony Fabrizio | Gore-Chernomyrdin Commission | Russkiy Toy | Alexander Kerensky | Anna Simpson | William H. Ginsburg | Trevor Kennedy | Ferdi Taygan | Paul Manafort"
5a73a7c755429978a71e9068,pooled,bridge,hard,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige O'Hara | Something There,full_evidence_recall,5,0,1,dense_only,"The Longer We Make Love | Something for the Rest of Us | Timbiriche VIII &amp; IX | Chattahoochee (song) | Cowboys and Angels (Dustin Lynch song) | Miss American Beauty 1963 | Dancin' (on a Saturday Night) | Thomas H. Gale House | Ungod | Ferry Cross the Mersey | Re-Sepp-Ten | Don't Let the Sun Catch You Crying | (Who Says) You Can't Have It All | Something There | La La Land (Demi Lovato song) | Oh My God (Guns N' Roses song) | Notorious (The Saturdays song) | Where It's At (Yep, Yep) | Stay (Sugarland song) | Den Za Nas | Heaven Bound (I'm Ready) | Dirás que estoy loco | These Boots Are Made for Walkin' | Belle (Disney song) | One Perfect Day (Lydia Denker song) | Claess &amp; Willumsen | Dub-I-Dub | Evermore (Beauty and the Beast song) | Beauty and the Beast (Disney song) | All That You Are (Goo Goo Dolls song) | Bob Seger | My Eyes (Blake Shelton song) | Lush (company) | My Eyes Adored You | Tweedledum and Tweedledee | Back to December | Within You Without You | 1956 NAIA Division I Men's Basketball Tournament | Stranger in the House (song) | Premio Lo Nuestro 2003 | I Love to Laugh | Make Love Not War (album) | We'll Burn That Bridge | Fred H. Hale Sr. | Midnight Sun (2006 film) | David Waksberg | Lollipop (Candyman) | Paracaleana | Murree rebellion of 1857 | Janna Allen","Something There | Paige O'Hara | Anna Simpson | Evermore (Beauty and the Beast song) | Beauty and the Beast (Disney song) | Belle (Disney song) | Robby Benson | Marissa Perry | Beauty and the Beast (1991 film) | American Beauty (soundtrack) | Be Our Guest | Yoann Lemoine | Leontyne Price | Janet Jackson | Belle (Disney) | American Beauty (1927 film) | Candy Coburn | Vanessa Bley | La Belle Américaine | Larnelle Harris | Claire Liddell | 5:55 | Janine Gutierrez | Amanda Lepore | Out in Fifty | Diana Quick | Marlene Dietrich | City of Stars | Johanna Bennett | No Prima Donna: The Songs of Van Morrison | Gus Williams (musician) | Carole Gray | Baby Girl (Sugarland song) | Dayna Hart | Lee Hazlewood | Jackie Lou Blanco | Something for the Rest of Us | Laura Linney | Emayatzy Corinealdi | 2014 Young Hollywood Awards | Dale Evans | 'Tis Autumn | Live in Buffalo: July 4th, 2004 | Claudia Drake | Plush (film) | Audra McDonald | Vanessa White | Maureen Dragone | Kelly Osbourne | Julie Ordon"
5a7571135542992d0ec05f98,pooled,bridge,hard,Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia University | Ralph Hefferline,full_evidence_recall,5,0,1,dense_only,"Ralph Hefferline | E. Mavis Hetherington | Princeton Neuroscience Institute | Lori L. Holt | Kimberly Young | David S. Touretzky | Frank L. Schmidt | Stanley Coren | James Alcock | Venkatesan Guruswami | David C. Funder | Wale Adebanwi | Mathematically Alive | Abraham Maslow | Oyewale Tomori | Inner Mongolia Medical University | Georges-Henri Bousquet | William Bonfield | Barry Beyerstein | VIP's | Orange County Fair Speedway | Aleksandar Bošković | Joshua D. Zimmerman | Oldham County, Kentucky | Maharaja Surajmal Brij University, Bharatpur | Thomas Hylland Eriksen | Campbell Field (Colorado) | Millington, Tennessee | Thomas H. Gale House | Claudio Pellegrini | Open Admissions | Deliver Us from Evil (2014 film) | Semyon Aranovich Gershgorin | Inner Mongolia University of Technology | University of the Incarnate Word | Jeffrey Stanley | Wolfson College, Cambridge | Oleson Park Music Pavilion | Rolling Stone | Travis Richards | Bedok Mall | Paddy O'Toole | Grennaskolan | Scott Christian College | The Gatehouse, Monmouth | Ralph Giannini | Billy Boy | Oregon Ducks football | Charles de Lorme | Woodville High School (Texas)","Ralph Hefferline | E. Mavis Hetherington | Columbia University | David H. Bailey | Jeffrey Stanley | David S. Touretzky | Ian Harland | Stanley Coren | Barry Beyerstein | Frank L. Schmidt | David C. Funder | Princeton Neuroscience Institute | Lori L. Holt | Kenneth LaValle | Abraham Maslow | Masters and Johnson | Carnegie Mellon University | Richard Jacob | William Masters | Richie Garner | Kimberly Young | Umpqua Community College shooting | University of Kansas | Westminster School, Adelaide | Roger O. Egeberg | Charles Teague (baseball) | James Fieser | Progress Energy Inc | Elizabeth Neilson | Casey Weldon | Feirstein Graduate School of Cinema | Jack Gelber | Gloriana St. Clair | Brian C. Bialiy | Donald West VanArtsdalen | Freud: A Life for Our Time | Everette James | Douglas J. Bennet | Robert Hormats | Association of Social Anthropologists | Albanian University in Berat | 2016–17 Vermont Catamounts men's basketball team | John MacGregor, Baron MacGregor of Pulham Market | Bard College Berlin | King's College London | Kripalu Center | Brenda McCowan | Mister Pipeline | UC Berkeley College of Natural Resources | Shannon Bell"
5a760faa5542994ccc9186a8,pooled,bridge,hard," What is the latest album of Tim Hecker, the Canadian electronic music maker?","Ravedeath, 1972 | Tim Hecker",full_evidence_recall,5,0,1,dense_only,"An Imaginary Country | Harmony in Ultraviolet | Virgins (Tim Hecker album) | Ravedeath, 1972 | Radio Amor | Love Streams (album) | Haunt Me, Haunt Me Do It Again | Mirages (album) | Tim Hecker | Moonpark | Live at Winterland 1978 (Avengers album) | Mirage (Digitalism album) | Boots and Hearts Music Festival | Ron Joyce | Osc-Dis | Hate Them | Skyscraper National Park | As the Music Plays | Leah Flanagan | The Foundation (Zac Brown Band album) | Mild and Hazy | VMAQT-1 | Make Love Not War (album) | Heaven Bound (I'm Ready) | Music Maker (label) | Battle of Blue Licks | Chief of the Defence Staff (Canada) | Geri Donnelly | Billy Ray Cyrus discography | Al Wilson (offensive lineman) | Rave music | Jean-Marie Boisvert | Legend (film score) | Suffrajett | About a Boy (film) | YouTube Rewind | A Boy in a Man's World | Old 8×10 | What a Catch, Donnie | Folk rock | Lucky to Be Alive (Confederate Railroad album) | Tonight I Climbed the Wall | She's Got the Rhythm (And I Got the Blues) | Five Horse Johnson | 10 Hronia Mazi | When People Grow, People Go | Scarface (soundtrack) | Eugene Melnyk | Something for the Rest of Us | Randy Travis","Radio Amor | Ravedeath, 1972 | Tim Hecker | Harmony in Ultraviolet | Love Streams (album) | An Imaginary Country | Virgins (Tim Hecker album) | Haunt Me, Haunt Me Do It Again | Mirages (album) | Xtended Play Version 3.13 | Current Mood | Emotional Technology | The Suicide File | Kingston Morning | Timbiriche VIII &amp; IX | The Idols with Sid Vicious | Chris Hanzsek | Levolution (album) | M Music &amp; Musicians | Old 8×10 | Where It's At (album) | Welcome to the New Administration | Chris Funk | Stranger in Town (album) | Thirty Eight (album) | Something for the Rest of Us | Mike Smith (A&amp;R man) | Music Maker (label) | The Long Road Home | In Death Reborn | 10 Hronia Mazi | The Naked Brothers Band: Music from the Movie | Suffrajett | Against the Wind (album) | Daughtry (album) | Alan Jackson albums discography | Rise Above (Dirty Projectors album) | Altamont Diary | Seasoned Veteran | 'Tis Autumn | Cargo Records (Canada) | Lonestar discography | Mark Arm | Sunset Blvd. (Yancey Boys album) | Suicide (1977 album) | Join Hands | Bob Seger | Art Laboe | Tom Morello discography | John Fogerty (album)"
5a774e9c55429972597f14f3,pooled,bridge,hard,David Huntsinger has worked with this gospel singer born in the month of July?,David Huntsinger | Larnelle Harris,full_evidence_recall,5,0,1,dense_only,Just as I Am (Yolanda Adams album) | Muyiwa Olarewaju | Kierra Sheard | Karen Clark Sheard | David Huntsinger | Latice Crawford | Charles Charamba | Henrik Dorsin | Merry Clayton | David S. Touretzky | Andraé Crouch | Carlo Rovelli | Larnelle Harris | 2018 PGA Championship | Ephigenia of Ethiopia | David Coderre | Anna Simpson | David H. Bailey | Gary Cherone | Indriati Iskak | Robby Benson | Tecumseh | David Urban | Super Bowl XXXVII | VMF-215 | 2016 Birthday Honours | Halcyon (album) | Gus Williams (musician) | David Beckham Academy | List of songs recorded by Ellie Goulding | Fender Hot Rod Deluxe | 2015 Birthday Honours | Kiyoshi Kohatsu | Lucas Grabeel | Dave Meros | Branko Tomović | George Frideric Handel | Kalākaua | 2014 Birthday Honours | 2013 Birthday Honours | Kent County Cricket Club in 2013 | Highspeed Hayride | John Frederick Fogerty | Lionel S. Reiss | Black Nativity | David Gold (talk radio host) | Crescent Communities | Daniela Castillo | Mamzer | David Alden,David Huntsinger | Karen Clark Sheard | Gus Williams (musician) | Larnelle Harris | Muyiwa Olarewaju | Just as I Am (Yolanda Adams album) | Latice Crawford | Chris Funk | Didz Hammond | David Alden | Randy Travis | David Gold (talk radio host) | Bruce Spizer | Daryl Hall | Hayden (musician) | Aurelio Valle | Zachary Throne | M Music &amp; Musicians | Marcus Bontempelli | John Waters | List of Canned Heat members | Kierra Sheard | Hall &amp; Oates | Charles Charamba | Hunter Davies | John Home Robertson | Lil Ru | Johnny Angel Wendell | Lady Antebellum | Christian Death | Tom Rothrock | Frank Beard (musician) | Fireflight | Keith Richards | Bradley Gaskin | Chris Robinson Brotherhood | Harry Connick Jr. | Amanda Lepore | Andraé Crouch | Timothy &quot;Yogi&quot; Watts | Mark Arm | Jonathan Wolfson | Supagroup | Barbara Higbie | Dave Meros | Delmer Daves | Leah Flanagan | Lee Hazlewood | Radio Amor | Chris Williams (English footballer)
5a77724455429972597f153e,pooled,bridge,hard,What race track in the midwest hosts a 500 mile race eavery May?,1957 Indianapolis 500 | Indianapolis Motor Speedway,full_evidence_recall,5,0,1,dense_only,"Carolina Dodge Dealers 400 | Allison Transmission | Subway 400 | 1964 Armstrong 500 | Louis Schwitzer Award | Orange County Fair Speedway | Johnny Rutherford | 10,000 metres | Kavita Tungar | Lean Horse Ultramarathon | 2009 Singapore Grand Prix | 6 Hours of Mexico | 2007 Firestone Indy 400 | Santa's Little Helper | Race of a Thousand Years | 2006 Toyota Grand Prix of Long Beach | Tony Ave | Toyota Pro/Celebrity Race | Ryan Hunter-Reay | Mike Shank | Cars 3 | Eduardo Troconis | Dave Bailey (athlete) | Three Men on a Horse | 2002 Gran Premio Telmex-Gigante | Fomorians | Catharina Felser | 2014 Bahrain Grand Prix | Tukufu Zuberi | Toronto Marathon | 2013 Toyota Grand Prix of Long Beach | 2016 Toyota Grand Prix of Long Beach | 2015 Toyota Grand Prix of Long Beach | Michael James Lewis | 1998 Molson Indy Vancouver | 2017 Toyota Grand Prix of Long Beach | Nashville Terminal Subdivision | Wisconsin Center | Sutliff Bridge | 1957 Indianapolis 500 | 2011 Indy Grand Prix of Sonoma | European 10,000m Cup | Howard Barish | Hot Rod Lincoln | Encore (Eminem song) | 2014 Toyota Grand Prix of Long Beach | Lowe's | Russia 2018 FIFA World Cup bid | College of Staten Island Baseball Complex | No Plan (EP)","1957 Indianapolis 500 | Indianapolis Motor Speedway | Lean Horse Ultramarathon | Subway 400 | Carolina Dodge Dealers 400 | Orange County Fair Speedway | Allison Transmission | 10,000 metres | Louis Schwitzer Award | The Great Locomotive Chase Festival | Johnny Rutherford | U.S. Route 287 | 1964 Armstrong 500 | Mike Shank | 2017 Toyota Grand Prix of Long Beach | Ryan Hunter-Reay | Toronto Marathon | 2016 Toyota Grand Prix of Long Beach | 6 Hours of Mexico | 2007 Firestone Indy 400 | Race of a Thousand Years | Toyota Pro/Celebrity Race | The Great Locomotive Chase | The Texas (locomotive) | Palm Meadows Thoroughbred Training Center | America East Conference | Dave Bailey (athlete) | Nashville Terminal Subdivision | U.S. Route 19 Truck (Pittsburgh) | 2013 Toyota Grand Prix of Long Beach | Tony Ave | List of Interstate Highways in New York | List of Interstate Highways in Illinois | Interamerican Scout Jamboree | 2014 Toyota Grand Prix of Long Beach | Nora Rocha | Parkway Field | Shawnee Mission District Stadium | 1998 Molson Indy Vancouver | CommunityAmerica Ballpark | Grand Ole Opry | The General (locomotive) | 2018 PGA Championship | Interstate 85 in Virginia | Wisconsin Center | Children's Mercy Park | Park City Center | 2002 Gran Premio Telmex-Gigante | Interstate 40 in North Carolina | Olathe East High School"
5a77a65b5542992a6e59df57,pooled,bridge,hard,"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",Current Mood | Small Town Boy (song),full_evidence_recall,5,0,1,dense_only,"Dustin Lynch (album) | Small Town Boy (song) | Where It's At (album) | Mind Reader (Dustin Lynch song) | Seein' Red (Dustin Lynch song) | Cowboys and Angels (Dustin Lynch song) | Current Mood | Kill the Lights (Luke Bryan album) | Back to December | Where It's At (Yep, Yep) | Heaven Bound (I'm Ready) | I Don't Want to Go to School | Headfirst Slide into Cooperstown on a Bad Bet | Stay (Sugarland song) | We Bring an Arsenal | Chattahoochee (song) | Live! The Last Concert | Notorious (The Saturdays song) | (Who Says) You Can't Have It All | Still Restless | Steers &amp; Stripes | Ungod | Wondering (Dirty Pretty Things song) | Oh My God (Guns N' Roses song) | America's Suitehearts | Be the One (Poison song) | She's Got the Rhythm (And I Got the Blues) | Life of a Ghost | One Perfect Day (Lydia Denker song) | Walk on the Wild Side (Lou Reed song) | Shut Up, Make Love | Headlines! | Cool from the Wire | Reckless (Jeremy Camp album) | Deadwood (song) | Tonight I Climbed the Wall | Ride Out (album) | Video Games (song) | Free (Bonfire album) | Billy Ray Cyrus discography | The Naked Brothers Band (album) | Higher (The Saturdays song) | Snapback (song) | What a Catch, Donnie | Old 8×10 | Stranger in the House (song) | Bang Bang You're Dead (song) | In Death Reborn | The Foundation (Zac Brown Band album) | Perfect Day (Jim Jones song)","Dustin Lynch (album) | Current Mood | Small Town Boy (song) | Mind Reader (Dustin Lynch song) | Where It's At (album) | Seein' Red (Dustin Lynch song) | Where It's At (Yep, Yep) | Cowboys and Angels (Dustin Lynch song) | Kill the Lights (Luke Bryan album) | Adam Craig (singer-songwriter) | Skin Yard (album) | Carolina Rain | Highspeed Hayride | Reckless (Jeremy Camp album) | Hold Me in Your Arms (album) | Country Music Star No. 1 | Steers &amp; Stripes | High Lonesome (Randy Travis album) | Altamont Diary | Mike Smith (A&amp;R man) | Clouds (Apollo Brown album) | The Foundation (Zac Brown Band album) | What a Catch, Donnie | Skin Yard | This Is Me (Randy Travis album) | The Bama Band | An Imaginary Country | The Long Road Home | Drop the World | Change Has Come | The Best of Van Morrison Volume 3 | Randy Travis | The Suicide File | Stay (Sugarland song) | Alan Jackson albums discography | Feel Good Inc. | Holler Back | Radiohead Box Set | Cool from the Wire | Chuck Berry on Stage | Under Your Skin (album) | Perfect Day (Jim Jones song) | Baby Girl (Sugarland song) | Jamboree (Beat Happening album) | She's Got the Rhythm (And I Got the Blues) | Radio Amor | Call Me Up in Dreamland | Billy Ray Cyrus discography | Graduation (album) | Seasoned Veteran"
