method,setting,example_id,question_type,level,question,gold_titles,retrieved_titles,any_evidence_recall@2,any_evidence_recall@5,any_evidence_recall@10,full_evidence_recall@2,full_evidence_recall@5,full_evidence_recall@10,partial_evidence_recall@2,partial_evidence_recall@5,partial_evidence_recall@10,reciprocal_rank_at_10,reciprocal_rank_at_50
rerank,pooled,5a8b57f25542995d1e6f1371,comparison,hard,Were Scott Derrickson and Ed Wood of the same nationality?,Ed Wood | Scott Derrickson,"Ed Wood (film) | Ed Wood | Adam Collis | Conrad Brooks | John Scott (ice hockey) | Scott Sidney | Woodson, Arkansas | Scott Sandelin | Scott Young (American football) | Ricky Proehl | Scott Parkin | Jonathan Wolfson | Anthony Woodson | Kevin Garnett | Calvin Tyler Scott | Adam Thielen | Grant Smith (footballer) | John Ince (actor) | Kevin Lockett | Charles Teague (baseball) | Thomas H. Ince | James Packer | Randall Cunningham | Bob Young (American football) | Boss Bailey | Sam Long | Guy Randall-Johnson | Tyler Kalinoski | Mike Edwards (basketball) | Jack Truelove | Donald Duffy | Ambrose Mendy | Danny Jones | Ralph Ince | Daryl Hall | Brian Kennedy (singer) | Jonathan Toews | E. J. Carroll | Robert Barton | Jeffrey Stanley | Thomas Hylland Eriksen | Henry Hall (American revolution) | Daniel House | Michael Atkinson | Mike Smith (A&amp;R man) | Mat Dan | Ian Harland | Woodville High School (Texas) | Sold (TV series) | George I, Earl of March",1,1,1,0,0,0,0.5,0.5,0.5,0.5,0.5
rerank,pooled,5a8c7595554299585d9e36b6,bridge,hard,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Kiss and Tell (1945 film) | Shirley Temple,Kiss and Tell (1945 film) | A Kiss for Corliss | Janet Waldo | Meet Corliss Archer (TV series) | Meet Corliss Archer | Sara Botsford | Emayatzy Corinealdi | Araby Lockhart | Lisa Wilcox | Katherine Waterston | Kyle Craig | Shirley Temple | Sela Ward | Yvonne Ridley | Campus Confessions | Lucy Fry | Emily Jewell | Jawbreaker (film) | Helen Modern | Snegithiye | Connie Sawyer | Mamie Gummer | Out in Fifty | Plush (film) | June Thomson | American Beauty (1999 film) | Soha Ali Khan | The Card (1952 film) | Ava DuVernay | Sage Kirkpatrick | Broken Arrow (1950 film) | Pamela B. Green | David Dencik | Azie Mira Dungey | The Informant! | Roy Holder | Earl and Edgar McGraw | Chloe Dykstra | Ankahee (2006 film) | Doddanna | Burt Gummer | Robert Earl Jones | Dayna Hart | La Femme Musketeer | Bubble (film) | Chrisann Brennan | Leg of mutton nude | Paresh Mokashi | The Bite in the Apple | Amy Corzine,1,1,1,0,0,0,0.5,0.5,0.5,1.0,1.0
rerank,pooled,5a85ea095542994775f606a8,bridge,hard,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs | The Hork-Bajir Chronicles,"Animorphs | Victoria Hanley | The Hork-Bajir Chronicles | The Divide trilogy | Andre Norton Award | List of Square Enix companion books | Apprentice Adept | Left Behind: The Kids | Ender's Game (series) | Young adult fiction | Tom Clancy's Net Force Explorers: Deathworld | Tom Clancy's Net Force Explorers: High Wire | Tom Clancy's Net Force Explorers: Duel Identity | Tom Clancy's Net Force Explorers: Death Match | Tom Clancy's Net Force Explorers: Gameprey | Night School: the Web Series | Tom Clancy's Net Force Explorers: Cold Case | Rick Wilber | Vacuum Diagrams | Aye, and Gomorrah, and other stories | From Unknown Worlds | The Young Ones (video game) | AlphaPets | The Spiderwick Chronicles (film) | Mary Poppins Opens the Door | Merlin Book 10: Shadows on the Stars | Escape from Furnace | Mai Al-Nakib | Irish Fairy Tales | List of Avatar: The Last Airbender episodes | Bridge to Terabithia (novel) | Monster Force | Summer of the Monkeys | Manga Bible (series) | Frostbite (Mead novel) | The Birds on the Trees | Avatar: The Last Airbender (season 2) | Spirit of the Border | Avatar: The Last Airbender (season 1) | Patterns of Sexual Behavior | The Marvelous Land of Oz | Sheep (novel) | Shayne Workman | Sheila Cavanagh | William R. Harwood | The Moth Diaries (film) | David Weissman | One Night Stand (video game) | Coral Gardens and Their Magic | Jane de Gay",1,1,1,0,1,1,0.5,1.0,1.0,1.0,1.0
rerank,pooled,5adbf0a255429947ff17385a,comparison,hard,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Esma Sultan Mansion | Laleli Mosque,"Esma Sultan Mansion | Laleli Mosque | Esma Sultan | Esma Sultan (daughter of Abdul Hamid I) | Esma Sultan (daughter of Ahmed III) | Esma Sultan (daughter of Abdülaziz) | Sultan Ahmed Mosque | Nusretiye Clock Tower | Kumanovo Clock Tower | Djamaâ el Kebir | Eski Imaret Mosque | Gevheri Kadın | Hysen Pasha Mosque | Haripur Barabari | Clock Tower of Murshidabad | St James's Palace | Buckingham Palace | Asante Traditional Buildings | Azam mosque of Qom | New Palace, Kolhapur | Chevron House | Bonsallo Avenue | DoubleTree by Hilton Hotel Los Angeles Downtown | Random House Tower | Republic Plaza (Singapore) | Al Utouriya | List of tallest buildings in São Paulo | Sabaa Al Bour | Raffles Place | Chatta Bazaar | One Raffles Link | Jeonju Hanok Village | Galle Clock Tower | Dukenfield Hall | Crowther Masonic Hall | Pune district | 888 7th Avenue | Kertha Gosa Pavilion | Las Vegas Festival Grounds | ABQ Uptown | One Raffles Place | One Marina Boulevard | Tell El Sakan | Pavilion Mall | Kasia Al Thani | Lohagarh Fort | Tazweed Center | Alamo Heights SA | Gwangjang Market | Eldorado Air Force Station",1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
rerank,pooled,5a8e3ea95542995a26add48d,bridge,hard,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Adriana Trigiani | Big Stone Gap (film),Big Stone Gap (film) | List of accolades received by La La Land | I Love NY (2015 film) | Manhattan Romance | The Big Brain | Brett C. Leonard | All Ages: The Boston Hardcore Film | Tromeo and Juliet | The Great Gilly Hopkins (film) | ATL (film) | South of the Border (2009 film) | The Stones (TV series) | Stone Stanley Entertainment | Delicatessen (film) | One Night in Istanbul | Schizopolis | Harry Bowen (actor) | La Belle Américaine | John Waters | A World Apart (film) | Innerspace | Aram Avakian | Commedia all'italiana | Finishing School (1953 film) | Nýtt líf | Street Kings 2: Motor City | Ben Elton | Feirstein Graduate School of Cinema | Phillip Boykin | List of accolades received by 127 Hours | Christopher Greenbury | Hollywood Star Lanes | James Franco | Blinding Edge Pictures | Striking Distance | Udanchhoo | Chinatown Nights (1929 film) | Aurelio Valle | Julián Hernández (filmmaker) | Ako Mitchell | David and Sandy Reynolds-Wasco | Rolling Stone | Nagesh Bhonsle | Brian C. Bialiy | Richard Kind | Kenneth Posner | Pasek and Paul | Nick Cordero | James Gunn's PG Porn | Tom Rothrock,1,1,1,0,0,0,0.5,0.5,0.5,1.0,1.0
rerank,pooled,5abd94525542992ac4f382d2,bridge,hard,2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014 S/S | Winner (band),"2014 S/S | Madtown | Winner (band) | BTS discography | History (band) | List of awards and nominations received by Shinee | SF9 (band) | Seventeen discography | Spellbound (TVXQ album) | Something (TVXQ song) | List of songs recorded by TVXQ | List of songs written by Ravi | B2K | Catch Me (album) | Cho Kyuhyun | List of TVXQ concert tours | Live World Tour: Catch Me in Seoul | Every End of the Day | Omarion | Catch Me (TVXQ song) | In Death Reborn | The Kids Aren't Alright (Fall Out Boy song) | Under the Blue Moon | Changmin | The Journey (Immature album) | Booty Luv | B Boy (song) | The Beach Boys | Levolution (album) | Encore (Eminem album) | American Beauty/American Psycho Tour | Hip Hop Since 1978 | Graduation (album) | Namsung electronics | Join Hands | Søndagsbarn | Fireflight | Rabid Neurosis | The Muggs | The Naked Brothers Band (album) | Ostava | Something for the Rest of Us | Chrome, Smoke &amp; BBQ | The Smalls | Chris Hanzsek | Live at Winterland 1978 (Avengers album) | Supagroup | Waiting for the Rest of It | 1984 South Asian Games | Operation Mojo",1,1,1,0,1,1,0.5,1.0,1.0,1.0,1.0
rerank,pooled,5a85b2d95542997b5ce40028,bridge,hard,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh | Management consulting,Eenasul Fateh | Management consulting | ELDee | Amaruk Kayshapanta | Claudio Fernández-Aráoz | E. J. Carroll | Fazle Hasan Abed | George Abbott | Araby Lockhart | Raimund Marasigan | Owsley Stanley | Dana Shires | Gerry Marsden | Semyon Aranovich | Daryl Hall | Isaak Hassler | Joby Talbot | Bordan Tkachuk | Keith Bostic | John Waters | Pat Robertson | Franz Josef Och | Darrell Crate | Egon Zehnder | James Alcock | Jonathan Michael Ansell | Alistair Grant | Mark Whitacre | Music Maker (label) | Roy Roman | Mona Scott-Young | W. Morgan Petty | Eduardo Portela | John Bruton | Sean Healey | Wes McKinney | Vance Powell | Peter Torry | Andrew Jaspan | Jeffrey Stanley | Keith Bilbrey | Liam Cosgrave | Pamela Gilbert | Ottavio Alessi | Antoine Quinquet | Herbert S. Lewis | Hyrum W. Smith | Ian Harland | Avenue Capital Group | Leader of Fine Gael,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
rerank,pooled,5a87ab905542996e4f3088c1,bridge,hard,The arena where the Lewiston Maineiacs played their home games can seat how many people?,Androscoggin Bank Colisée | Lewiston Maineiacs,Dwyer Arena | Androscoggin Bank Colisée | Lewiston Maineiacs | 2006–07 QMJHL season | Billings Bulls | 2011–12 QMJHL season | Case Gym | Robins Center | Children's Mercy Park | College of Staten Island Baseball Complex | 2015–16 Vermont Catamounts men's basketball team | 2016–17 Vermont Catamounts men's basketball team | Shreveport Steamer | Darling's Waterfront Pavilion | Springfield Park (Wigan) | Oregon Ducks football | 60th National Hockey League All-Star Game | Ryman Auditorium | Glanford Park | 2013–14 Vermont Catamounts men's basketball team | 2012–13 Vermont Catamounts men's basketball team | Memphis Hustle | Vermont Catamounts men's ice hockey | The O2 Arena | 2011–12 Vermont Catamounts men's basketball team | Vermont Catamounts men's basketball | Concord Pavilion | 2008 Kansas City Wizards season | Campbell Field (Colorado) | Arena of Khazan | Shawnee Mission District Stadium | Parkway Field | 2011 Pan American Games | Portland State Vikings football under Jerry Glanville | CommunityAmerica Ballpark | 1999 Kansas City Wizards season | Las Vegas Festival Grounds | 1997 Kansas City Wizards season | Hey Pa! There's a Goat on the Roof | Centro de Congresos Queretaro | 2010–11 Vermont Catamounts men's basketball team | Sports in the Las Vegas metropolitan area | 2012 Ms. Olympia | 2010 Ms. Olympia | 2011 Ms. Olympia | 1981 Ms. Olympia | 1891 Tennessee Volunteers football team | 1980 Ms. Olympia | 1983 Volvo International – Doubles | Maxine's Tap Room,1,1,1,0,1,1,0.5,1.0,1.0,0.5,0.5
rerank,pooled,5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Annie Morton | Terry Richardson,Annie Morton | Kenton Richardson | Lady Gaga x Terry Richardson | Lee Terry | Annie Easley | Hannah Gale | Roslyn Dundas | Vanessa White | Shaunna O'Grady | Cressida Bonas | Roberta Vinci | Nancy Sinatra | Molly Childers | Sela Ward | Erica Packer | Hilarie Burton | Vashti Cunningham | John Ingram McMorran | Gretchen Palmer | Lisa Wilcox | Gretchen Osgood Warren | Anna Simpson | Sarah Drew | Johanna Bennett | Karen Clark Sheard | Sammy Howarth | Stacey Kent | Laura Linney | Marissa Perry | Shelley Fabares | Leontyne Price | Marta Ribera | Marion Greene | Beverly Marshall | Barbara Higbie | Katie Landers | Camille Zamora | Lee Hazlewood | John Amos | Lady Antebellum | Kathy Sullivan (Australian politician) | Vanessa Bley | Jeff Horner | Leah Flanagan | Nancy Spungen | David Huntsinger | Reed A. Albee | Pamela B. Davis | Maggie Dixon Award | Scout Tufankjian,1,1,1,0,0,0,0.5,0.5,0.5,1.0,1.0
rerank,pooled,5a8db19d5542994ba4e3dd00,comparison,hard,Are Local H and For Against both from the United States?,For Against | Local H,"For Against | Local H | Hallelujah! I'm a Bum (album) | Mendocino County GMO Ban | Hirabayashi v. United States | Immigration policy of Donald Trump | United States Mission to the European Union | United States v. Quiver | Summers v. Earth Island Institute | Reynolds v. Sims | Ancient Order of Hibernians | Whole Woman's Health v. Hellerstedt | List of U.S. state dogs | DISCLOSE Act | List of Interstate Highways in New York | List of auxiliary Interstate Highways | Public Law 113-167 | Center for Pan Asian Community Services, Inc. | United States naval gunfire support debate | Italian American One Voice Coalition | United Kingdom local elections, 2013 | City of Norwood v. Horney | Hibbing, Minnesota | Franklin D. Roosevelt's record on civil rights | Interstate 40 in North Carolina | Richard Honaker | Transport for Greater Manchester | West Yorkshire Association Football League | Greater Manchester Integrated Transport Authority | National Association for Public Health Policy | Supporting Healthy Marriage Project | Mike Beard (politician) | Greater Manchester County Council | David Urban | Jeff Strabone | Mayor of Greater Manchester | John Home Robertson | Greater Manchester Police and Crime Commissioner | Nevada Union High School | A41 road | Sinuiju Special Administrative Region | 2014 NPCSC Decision on Hong Kong | 2011 Inner Mongolia unrest | Hong Kong Basic Law | HGGC | Human Development Index | State media | Carey Olsen | Chicago Public Media | Walkers (law firm)",1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
