retrieval_run_id,method,setting,example_id,rank,title,score
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,1,Battle of the Burbia River,48.368921467010878
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,2,Battle of Alhandic,46.825854794124062
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,3,Battle of Silda,46.401370989484683
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,4,Battle of Klushino,44.280264372758879
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,5,Battle of Manila (1574),43.739941216309546
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,6,Battle of Calabria,43.05693555722754
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,7,Battle of Manila (1945),42.153913286592392
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,8,Battle of Belleau Wood,40.954785573597164
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,9,5th Virginia Regiment,39.251164451651071
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,10,4th Virginia Regiment,39.203288042615817
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,11,Battle of Stones River,38.876465964619911
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,12,Battle of Clitheroe,38.675380410515878
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,13,1st Virginia Regiment,38.66471842079536
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,14,Battle of Aspromonte,38.181676083320539
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,15,Seven Days Union order of battle,37.772391431137251
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,16,Battle of Blue Licks,37.560809997889031
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,17,12th Virginia Regiment,36.57671416567478
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,18,Battle of Jupiter Inlet,36.478806349197512
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,19,7th Virginia Regiment,36.477833352016745
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,20,Battle of Glendale (Skye),36.459604216543141
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,21,Battle of Norfolk,35.925082069640517
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,22,Battle of Adwa,35.899882002271212
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,23,Battle of Guam (1944),35.733753212926359
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,24,Battle of Yao (Japan),35.259145291532832
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,25,Battle of Gaines's Mill,35.090851051000584
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,26,The Eighth (United States),35.068743562122151
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,27,Prophetstown State Park,34.85310166810256
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,28,Masnières Newfoundland Memorial,34.852871994012986
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,29,Seven Days Confederate order of battle,34.824652932282412
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,30,Battle of the Ch'ongch'on River,34.581596716812292
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,31,Aisne-Marne American Cemetery and Memorial,34.518890970499982
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,32,Battle of Berestechko,34.331406120217416
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,33,Battle of Stamford Bridge,34.190005996209592
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,34,Battle of Malvern Hill,33.995282659924989
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,35,Ethiopia–Japan relations,33.977807373121735
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,36,VMF-511,33.788197960085114
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,37,American Expeditionary Forces,33.465660627284144
bm25_pooled_n500_d50_20260726_r01,bm25,pooled,5a71166d5542994082a3e576,38,Battle of Fallen Timbers,33.355986620958539
