method,setting,example_id,question_type,level,question,gold_titles,retrieved_titles,any_evidence_recall@2,any_evidence_recall@5,any_evidence_recall@10,full_evidence_recall@2,full_evidence_recall@5,full_evidence_recall@10,partial_evidence_recall@2,partial_evidence_recall@5,partial_evidence_recall@10,reciprocal_rank_at_10,reciprocal_rank_at_50
dense,pooled,5a8b57f25542995d1e6f1371,comparison,hard,Were Scott Derrickson and Ed Wood of the same nationality?,Ed Wood | Scott Derrickson,"Ed Wood (film) | Ed Wood | John Scott (ice hockey) | Calvin Tyler Scott | John Ince (actor) | Scott Parkin | Scott Young (American football) | Ian Harland | Ralph Ince | James Packer | Thomas H. Ince | Woodville High School (Texas) | Scott Sidney | Randall Cunningham | Donald Duffy | Adam Collis | George I, Earl of March | Boss Bailey | Grant Smith (footballer) | Woodson, Arkansas | E. J. Carroll | Ricky Proehl | Michael Atkinson | Tyler Kalinoski | Mat Dan | Robert Barton | Brian Kennedy (singer) | Ambrose Mendy | Danny Jones | Jonathan Wolfson | Scott Sandelin | Jack Truelove | Anthony Woodson | Jonathan Toews | Kevin Lockett | Jeffrey Stanley | Adam Thielen | Bob Young (American football) | Daniel House | Henry Hall (American revolution) | Mike Smith (A&amp;R man) | Conrad Brooks | Daryl Hall | Charles Teague (baseball) | Sam Long | Sold (TV series) | Thomas Hylland Eriksen | Mike Edwards (basketball) | Kevin Garnett | Guy Randall-Johnson",1,1,1.0,0,0,0.0,0.5,0.5,0.5,0.5,0.5
dense,pooled,5a8c7595554299585d9e36b6,bridge,hard,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Kiss and Tell (1945 film) | Shirley Temple,Kiss and Tell (1945 film) | A Kiss for Corliss | Meet Corliss Archer (TV series) | Araby Lockhart | Janet Waldo | Pamela B. Green | Mamie Gummer | Emily Jewell | Sara Botsford | Doddanna | Lisa Wilcox | Katherine Waterston | Connie Sawyer | Yvonne Ridley | Burt Gummer | Ankahee (2006 film) | Chrisann Brennan | Lucy Fry | Shirley Temple | The Card (1952 film) | The Informant! | June Thomson | Sage Kirkpatrick | David Dencik | Meet Corliss Archer | Broken Arrow (1950 film) | The Bite in the Apple | Sela Ward | Plush (film) | Out in Fifty | Dayna Hart | Roy Holder | Campus Confessions | Kyle Craig | Bubble (film) | Ava DuVernay | Emayatzy Corinealdi | American Beauty (1999 film) | Chloe Dykstra | Jawbreaker (film) | Robert Earl Jones | Soha Ali Khan | Leg of mutton nude | Helen Modern | La Femme Musketeer | Snegithiye | Paresh Mokashi | Amy Corzine | Earl and Edgar McGraw | Azie Mira Dungey,1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
dense,pooled,5a85ea095542994775f606a8,bridge,hard,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs | The Hork-Bajir Chronicles,"Victoria Hanley | Animorphs | The Hork-Bajir Chronicles | The Divide trilogy | Coral Gardens and Their Magic | Night School: the Web Series | Andre Norton Award | AlphaPets | The Spiderwick Chronicles (film) | Bridge to Terabithia (novel) | Vacuum Diagrams | Summer of the Monkeys | Tom Clancy's Net Force Explorers: Deathworld | Tom Clancy's Net Force Explorers: High Wire | Tom Clancy's Net Force Explorers: Duel Identity | Tom Clancy's Net Force Explorers: Death Match | Tom Clancy's Net Force Explorers: Gameprey | Apprentice Adept | Aye, and Gomorrah, and other stories | From Unknown Worlds | The Birds on the Trees | Shayne Workman | Mai Al-Nakib | The Young Ones (video game) | Young adult fiction | One Night Stand (video game) | Ender's Game (series) | Mary Poppins Opens the Door | Avatar: The Last Airbender (season 1) | Escape from Furnace | Spirit of the Border | Irish Fairy Tales | List of Square Enix companion books | Patterns of Sexual Behavior | Monster Force | Avatar: The Last Airbender (season 2) | Jane de Gay | The Moth Diaries (film) | David Weissman | Merlin Book 10: Shadows on the Stars | Left Behind: The Kids | The Marvelous Land of Oz | Sheila Cavanagh | Sheep (novel) | William R. Harwood | Frostbite (Mead novel) | Manga Bible (series) | Rick Wilber | List of Avatar: The Last Airbender episodes | Tom Clancy's Net Force Explorers: Cold Case",1,1,1.0,0,1,1.0,0.5,1.0,1.0,0.5,0.5
dense,pooled,5adbf0a255429947ff17385a,comparison,hard,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Esma Sultan Mansion | Laleli Mosque,"Esma Sultan Mansion | Laleli Mosque | Sultan Ahmed Mosque | Esma Sultan (daughter of Abdülaziz) | Esma Sultan | Esma Sultan (daughter of Abdul Hamid I) | Esma Sultan (daughter of Ahmed III) | Djamaâ el Kebir | Eski Imaret Mosque | Azam mosque of Qom | New Palace, Kolhapur | Nusretiye Clock Tower | One Marina Boulevard | Hysen Pasha Mosque | Clock Tower of Murshidabad | One Raffles Link | Haripur Barabari | Kasia Al Thani | Chevron House | Buckingham Palace | Kertha Gosa Pavilion | Crowther Masonic Hall | Gevheri Kadın | One Raffles Place | Al Utouriya | Bonsallo Avenue | Sabaa Al Bour | List of tallest buildings in São Paulo | Kumanovo Clock Tower | Asante Traditional Buildings | Lohagarh Fort | Chatta Bazaar | St James's Palace | DoubleTree by Hilton Hotel Los Angeles Downtown | ABQ Uptown | Raffles Place | Eldorado Air Force Station | Pavilion Mall | Galle Clock Tower | Dukenfield Hall | Republic Plaza (Singapore) | Alamo Heights SA | Pune district | Random House Tower | 888 7th Avenue | Gwangjang Market | Las Vegas Festival Grounds | Tell El Sakan | Jeonju Hanok Village | Tazweed Center",1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
dense,pooled,5a8e3ea95542995a26add48d,bridge,hard,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Adriana Trigiani | Big Stone Gap (film),Big Stone Gap (film) | Manhattan Romance | Stone Stanley Entertainment | All Ages: The Boston Hardcore Film | The Stones (TV series) | The Big Brain | Innerspace | Ako Mitchell | Nýtt líf | Christopher Greenbury | Brett C. Leonard | I Love NY (2015 film) | List of accolades received by La La Land | The Great Gilly Hopkins (film) | Kenneth Posner | Rolling Stone | Pasek and Paul | ATL (film) | Finishing School (1953 film) | John Waters | Aurelio Valle | Street Kings 2: Motor City | Tromeo and Juliet | Striking Distance | Julián Hernández (filmmaker) | South of the Border (2009 film) | David and Sandy Reynolds-Wasco | Chinatown Nights (1929 film) | Feirstein Graduate School of Cinema | Brian C. Bialiy | Harry Bowen (actor) | A World Apart (film) | Blinding Edge Pictures | One Night in Istanbul | Delicatessen (film) | Commedia all'italiana | La Belle Américaine | Ben Elton | Hollywood Star Lanes | Nagesh Bhonsle | List of accolades received by 127 Hours | Schizopolis | Udanchhoo | Richard Kind | James Gunn's PG Porn | Tom Rothrock | James Franco | Nick Cordero | Phillip Boykin | Aram Avakian,1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
dense,pooled,5abd94525542992ac4f382d2,bridge,hard,2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014 S/S | Winner (band),"2014 S/S | BTS discography | List of awards and nominations received by Shinee | Seventeen discography | History (band) | List of songs recorded by TVXQ | Cho Kyuhyun | B2K | Madtown | Rabid Neurosis | List of TVXQ concert tours | List of songs written by Ravi | Winner (band) | Spellbound (TVXQ album) | Something (TVXQ song) | Every End of the Day | Søndagsbarn | Catch Me (album) | Graduation (album) | Hip Hop Since 1978 | 1984 South Asian Games | SF9 (band) | The Journey (Immature album) | Live World Tour: Catch Me in Seoul | Supagroup | The Smalls | The Naked Brothers Band (album) | The Beach Boys | Levolution (album) | Something for the Rest of Us | Under the Blue Moon | Catch Me (TVXQ song) | Changmin | American Beauty/American Psycho Tour | Join Hands | Encore (Eminem album) | Namsung electronics | Omarion | Fireflight | Chrome, Smoke &amp; BBQ | Waiting for the Rest of It | B Boy (song) | The Kids Aren't Alright (Fall Out Boy song) | Live at Winterland 1978 (Avengers album) | Chris Hanzsek | Operation Mojo | The Muggs | In Death Reborn | Booty Luv | Ostava",1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
dense,pooled,5a85b2d95542997b5ce40028,bridge,hard,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh | Management consulting,Eenasul Fateh | Claudio Fernández-Aráoz | Management consulting | Darrell Crate | Sean Healey | Eduardo Portela | Raimund Marasigan | Bordan Tkachuk | Alistair Grant | Jeffrey Stanley | Antoine Quinquet | Jonathan Michael Ansell | Dana Shires | Ian Harland | Fazle Hasan Abed | Egon Zehnder | Pamela Gilbert | Peter Torry | E. J. Carroll | Hyrum W. Smith | Keith Bilbrey | ELDee | Keith Bostic | Music Maker (label) | Franz Josef Och | Avenue Capital Group | George Abbott | Liam Cosgrave | Daryl Hall | Amaruk Kayshapanta | Roy Roman | Ottavio Alessi | Leader of Fine Gael | W. Morgan Petty | Owsley Stanley | Joby Talbot | Wes McKinney | Semyon Aranovich | James Alcock | Mark Whitacre | Isaak Hassler | Vance Powell | Araby Lockhart | Pat Robertson | Mona Scott-Young | Andrew Jaspan | Herbert S. Lewis | John Waters | John Bruton | Gerry Marsden,1,1,1.0,0,1,1.0,0.5,1.0,1.0,1.0,1.0
dense,pooled,5a87ab905542996e4f3088c1,bridge,hard,The arena where the Lewiston Maineiacs played their home games can seat how many people?,Androscoggin Bank Colisée | Lewiston Maineiacs,Lewiston Maineiacs | Dwyer Arena | Portland State Vikings football under Jerry Glanville | Androscoggin Bank Colisée | Children's Mercy Park | Shawnee Mission District Stadium | 2008 Kansas City Wizards season | CommunityAmerica Ballpark | Case Gym | 2006–07 QMJHL season | Billings Bulls | Robins Center | 2015–16 Vermont Catamounts men's basketball team | Centro de Congresos Queretaro | 2016–17 Vermont Catamounts men's basketball team | Ryman Auditorium | Vermont Catamounts men's ice hockey | Darling's Waterfront Pavilion | Hey Pa! There's a Goat on the Roof | 2013–14 Vermont Catamounts men's basketball team | 2012–13 Vermont Catamounts men's basketball team | Maxine's Tap Room | 2010–11 Vermont Catamounts men's basketball team | 2012 Ms. Olympia | 1983 Volvo International – Doubles | 2011–12 Vermont Catamounts men's basketball team | 60th National Hockey League All-Star Game | 2011 Ms. Olympia | Vermont Catamounts men's basketball | Campbell Field (Colorado) | Glanford Park | 2010 Ms. Olympia | 1891 Tennessee Volunteers football team | Oregon Ducks football | 1999 Kansas City Wizards season | 2011–12 QMJHL season | College of Staten Island Baseball Complex | Memphis Hustle | 1980 Ms. Olympia | 1981 Ms. Olympia | Parkway Field | Shreveport Steamer | The O2 Arena | Springfield Park (Wigan) | 2011 Pan American Games | 1997 Kansas City Wizards season | Concord Pavilion | Sports in the Las Vegas metropolitan area | Las Vegas Festival Grounds | Arena of Khazan,1,1,1.0,0,1,1.0,0.5,1.0,1.0,1.0,1.0
dense,pooled,5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Annie Morton | Terry Richardson,Kenton Richardson | Sammy Howarth | Shaunna O'Grady | Annie Morton | Stacey Kent | Leah Flanagan | Reed A. Albee | Pamela B. Davis | Cressida Bonas | Shelley Fabares | Barbara Higbie | Leontyne Price | Marissa Perry | Maggie Dixon Award | Vashti Cunningham | Hannah Gale | Marta Ribera | Marion Greene | Gretchen Palmer | Anna Simpson | Sarah Drew | Vanessa Bley | Lee Terry | Lady Gaga x Terry Richardson | John Ingram McMorran | Camille Zamora | Gretchen Osgood Warren | Roslyn Dundas | Sela Ward | Laura Linney | Kathy Sullivan (Australian politician) | Beverly Marshall | Johanna Bennett | Molly Childers | Lady Antebellum | Hilarie Burton | Scout Tufankjian | Erica Packer | Vanessa White | Nancy Sinatra | Roberta Vinci | David Huntsinger | Karen Clark Sheard | Lisa Wilcox | Katie Landers | Annie Easley | John Amos | Nancy Spungen | Lee Hazlewood | Jeff Horner,0,1,1.0,0,0,0.0,0.0,0.5,0.5,0.25,0.25
dense,pooled,5a8db19d5542994ba4e3dd00,comparison,hard,Are Local H and For Against both from the United States?,For Against | Local H,"Local H | Mendocino County GMO Ban | Hirabayashi v. United States | Ancient Order of Hibernians | DISCLOSE Act | Immigration policy of Donald Trump | Hibbing, Minnesota | Transport for Greater Manchester | List of Interstate Highways in New York | United States naval gunfire support debate | State media | Sinuiju Special Administrative Region | Greater Manchester Police and Crime Commissioner | United States v. Quiver | Greater Manchester County Council | Public Law 113-167 | A41 road | 2014 NPCSC Decision on Hong Kong | Mike Beard (politician) | For Against | Hallelujah! I'm a Bum (album) | Mayor of Greater Manchester | National Association for Public Health Policy | Summers v. Earth Island Institute | Supporting Healthy Marriage Project | Greater Manchester Integrated Transport Authority | Nevada Union High School | Carey Olsen | Jeff Strabone | List of U.S. state dogs | Whole Woman's Health v. Hellerstedt | 2011 Inner Mongolia unrest | Hong Kong Basic Law | Walkers (law firm) | City of Norwood v. Horney | West Yorkshire Association Football League | Italian American One Voice Coalition | United Kingdom local elections, 2013 | HGGC | United States Mission to the European Union | List of auxiliary Interstate Highways | Chicago Public Media | David Urban | Human Development Index | Franklin D. Roosevelt's record on civil rights | Richard Honaker | Interstate 40 in North Carolina | John Home Robertson | Reynolds v. Sims | Center for Pan Asian Community Services, Inc.",1,1,1.0,0,0,0.0,0.5,0.5,0.5,1.0,1.0
