example_id,observed_signal,setting,criterion,k,question_type,level,question,gold_titles,bm25_top5,dense_top5,bm25_hit,dense_hit,bm25_gold_found,n_gold
5a7caae75542996dd594b971,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroid | Steroid use in Australia,Belling-Lee connector | Pox (drink) | Docking (animal) | Methyltestosterone | Tensile testing,Anabolic steroid | Methyltestosterone | Steroid use in Australia | Metandienone | Rabid Neurosis,0,1,0,2
5a83880e554299123d8c214e,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,Suicide's 1977 released album features a song based on what brand's comic character?,Ghost Rider (Suicide song) | Suicide (1977 album),Deadwood (song) | A Boy in a Man's World | Perfect Day (Jim Jones song) | Live at Winterland 1978 (Avengers album) | Rockin' All Over the World,Suicide (1977 album) | Ghost Rider (Suicide song) | The Suicide File | Suicide Squad (film) | Disco Bill,0,1,0,2
5ab72a025542992aa3b8c7b8,dense_hit_bm25_miss,pooled,full_evidence_recall,5,comparison,hard,"""A Summer in the Cage"" and ""American Hardcore"" are both what kind of film?",A Summer in the Cage | American Hardcore (film),All Ages: The Boston Hardcore Film | Treehouse (game) | Libocedrus | Summer Olympic Games | Murder of Grace Brown,A Summer in the Cage | Wet Hot American Summer (series) | American Hardcore (film) | Planet Terror | Punk's Not Dead (2007 film),0,1,0,2
5a71717d5542994082a3e834,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,"What star of ""Attack of the Gryphon"" was also a voice artist in Johnny Bravo?  ",Gryphon (film) | Larry Drake,Gryphon (film) | Steve Nallon | Hubert Gagnon | Ralph Giannini | Karel Dežman,Larry Drake | Gryphon (film) | Van Partible | List of Johnny Bravo episodes | Enrique Grau,0,1,1,2
5a7252db5542990c210a4104,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,What is the name of the oldest child that attended the Trump campaign-Russian meeting?,Donald Trump Jr. | Trump campaign–Russian meeting,"Donald Trump Jr. | Child Welfare League of America | Donald Trump (Last Week Tonight) | College of Charleston | Peterhouse, Cambridge",Trump campaign–Russian meeting | Donald Trump Jr. | Jessica Mulroney | Elliott Abrams | John Ingram McMorran,0,1,1,2
5a73a7c755429978a71e9068,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige O'Hara | Something There,The Longer We Make Love | Something for the Rest of Us | Timbiriche VIII &amp; IX | Chattahoochee (song) | Cowboys and Angels (Dustin Lynch song),Something There | Paige O'Hara | Anna Simpson | Evermore (Beauty and the Beast song) | Beauty and the Beast (Disney song),0,1,1,2
5a7571135542992d0ec05f98,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia University | Ralph Hefferline,Ralph Hefferline | E. Mavis Hetherington | Princeton Neuroscience Institute | Lori L. Holt | Kimberly Young,Ralph Hefferline | E. Mavis Hetherington | Columbia University | David H. Bailey | Jeffrey Stanley,0,1,1,2
5a77724455429972597f153e,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,What race track in the midwest hosts a 500 mile race eavery May?,1957 Indianapolis 500 | Indianapolis Motor Speedway,Carolina Dodge Dealers 400 | Allison Transmission | Subway 400 | 1964 Armstrong 500 | Louis Schwitzer Award,1957 Indianapolis 500 | Indianapolis Motor Speedway | Lean Horse Ultramarathon | Subway 400 | Carolina Dodge Dealers 400,0,1,1,2
5a77cb5e55429967ab1052a7,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",Dan Castellaneta | Kang and Kodos,Hubert Gagnon | Grampa Simpson | Dan Castellaneta | Santa's Little Helper | Ned Flanders,Dan Castellaneta | Hubert Gagnon | Ned Flanders | Krusty the Clown | Kang and Kodos,0,1,1,2
5a7c6bcc55429935c91b519c,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,Rock Springs is a collection of short stories by an author born in what year?,Richard Ford | Rock Springs (short story collection),Rock Springs (short story collection) | Mai Al-Nakib | Ambulanse | A Good Man Is Hard to Find and Other Stories | The Rest of the Robots,Rock Springs (short story collection) | Richard Ford | Roald Dahl short stories bibliography | Pluck and Luck | The Roald Dahl Treasury,0,1,1,2
5a7d61775542991319bc93b9,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?","Siege of Bharatpur | Stapleton Cotton, 1st Viscount Combermere","Commander-in-Chief, India | Claude Auchinleck | Siege of Bharatpur (1805) | Asiatic-Pacific Theater | Fort Diu","Siege of Bharatpur | Siege of Bharatpur (1805) | Stapleton Cotton, 1st Viscount Combermere | Lohagarh Fort | Commander-in-Chief, India",0,1,1,2
5a811152554299260e20a22e,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,What party does the House of Commons representative for Congleton belong to?,Congleton (UK Parliament constituency) | Fiona Bruce (politician),"Congleton (UK Parliament constituency) | Dean of the House (Canada) | Jean-Marie Boisvert | Prosper Boulanger | Glasgow North East by-election, 2009",Congleton (UK Parliament constituency) | Fiona Bruce (politician) | Richard Torbay | Bronwyn Bishop | Dean of the House (Canada),0,1,1,2
5a86769c5542994775f60776,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Armageddon in Retrospect | Kurt Vonnegut,Armageddon in Retrospect | Greater Manchester Integrated Transport Authority | Hugh Gallagher (humorist) | Westgate Las Vegas Resort &amp; Casino | José María Gironella,Armageddon in Retrospect | Armando Mook | Give War a Chance | Kurt Vonnegut | Eric Ambler,0,1,1,2
5a87ab905542996e4f3088c1,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,The arena where the Lewiston Maineiacs played their home games can seat how many people?,Androscoggin Bank Colisée | Lewiston Maineiacs,Lewiston Maineiacs | 2006–07 QMJHL season | Dwyer Arena | Billings Bulls | 2011–12 QMJHL season,Lewiston Maineiacs | Dwyer Arena | Portland State Vikings football under Jerry Glanville | Androscoggin Bank Colisée | Children's Mercy Park,0,1,1,2
5a895d305542993b751ca931,dense_hit_bm25_miss,pooled,full_evidence_recall,5,bridge,hard,"Which football team does Lewis Young's older brother, Ashley Young, play for?",Ashley Young | Lewis Young,Rick Clausen | Lewis Young | Falkland Islands official football team | William T. Van de Graaff | Georgia Tech Yellow Jackets football,Lewis Young | Ashley Young | Lewis Young (Australian footballer) | Scott Young (American football) | George Young (Scottish footballer),0,1,1,2
5a74c85055429916b0164218,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant | British people,Man Booker International Prize | Fred H. Hale Sr. | Viscount Wimborne | Speeches and debates of Ronald Reagan | Omar Khadr,"George V | 1925 Birthday Honours | British people | 1951 Birthday Honours | Australian referendum, 1937",0,0,0,2
